database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
EICU,0.35,MCAR,strong,naive,reconstructed,event_rate,300,0.1977717076099996,0.0092130569150738,0.1799533318964305,0.21568943800117,0.2247156470949892,-0.0269439394849896,0.0284705700323235
EICU,0.35,history_MAR,strong,naive,reconstructed,event_rate,300,0.2580194610889855,0.0106428770662221,0.2386982031536486,0.276805457122608,0.2247156470949892,0.0333038139939963,0.0349576499403577
EICU,0.35,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.3290378500412909,0.0103707324970446,0.3094527263944657,0.3490906935075885,0.2247156470949892,0.1043222029463017,0.1048347061479142
EICU,0.35,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.5609747670311755,0.0112635139384688,0.5399545667036756,0.5825330174835437,0.2247156470949892,0.3362591199361863,0.3364470829080651
EICU,0.35,risk_MAR,strong,naive,reconstructed,event_rate,300,0.2580227853887499,0.0075367201047543,0.2441850086469335,0.2719161572659071,0.2247156470949892,0.0333071382937607,0.0341464239819826
EICU,0.35,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2131581443886168,0.0077087485750759,0.1994392890748811,0.2268441174973609,0.2247156470949892,-0.0115575027063724,0.0138853372562412
EICU,0.55,MCAR,strong,naive,reconstructed,event_rate,300,0.2043570482826495,0.005099755057278,0.1951439614546747,0.2148332353275838,0.2247156470949892,-0.0203585988123397,0.0209855511143711
EICU,0.55,history_MAR,strong,naive,reconstructed,event_rate,300,0.2316823207897905,0.006224247262636,0.2195093593856381,0.2444059486709904,0.2247156470949892,0.0069666736948012,0.0093352374818737
EICU,0.55,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.2734148546076232,0.0051212172395006,0.2633883981953195,0.2829665835572021,0.2247156470949892,0.0486992075126339,0.0489668485353716
EICU,0.55,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.3569559481726882,0.0055205296749512,0.3458574484747769,0.3668282767652515,0.2247156470949892,0.132240301077699,0.132355097708851
EICU,0.55,risk_MAR,strong,naive,reconstructed,event_rate,300,0.2386863564466608,0.0048862319083362,0.2286902079197914,0.2480374748503886,0.2247156470949892,0.0139707093516716,0.0147978511224903
EICU,0.55,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2159659892785293,0.0048119044316291,0.206777974558887,0.2252131755750549,0.2247156470949892,-0.0087496578164598,0.0099816709397812
EICU,0.75,MCAR,strong,naive,reconstructed,event_rate,300,0.2117257122837767,0.003345797271573,0.2057022835933762,0.2184894662921347,0.2247156470949892,-0.0129899348112124,0.0134125109972271
EICU,0.75,history_MAR,strong,naive,reconstructed,event_rate,300,0.2209765204549234,0.0031432956025505,0.2149912003279971,0.2273097824512615,0.2247156470949892,-0.0037391266400658,0.0048814384066564
EICU,0.75,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.2400507408330892,0.0030014923462623,0.2340868506837244,0.2456622041762845,0.2247156470949892,0.0153350937381,0.0156251088446333
EICU,0.75,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.2618279491807628,0.002186997994941,0.2574725994476552,0.2660369400884406,0.2247156470949892,0.0371123020857736,0.0371764708267854
EICU,0.75,risk_MAR,strong,naive,reconstructed,event_rate,300,0.2270767391204531,0.0030376045351338,0.2207796766212499,0.2328904860930814,0.2247156470949892,0.0023610920254638,0.0038433110803318
EICU,0.75,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2200211159628493,0.0030381350771961,0.2146302776831332,0.2261956023136574,0.2247156470949892,-0.0046945311321399,0.0055891072407642
