database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
MIMIC,0.35,MCAR,strong,naive,reconstructed,event_rate,300,0.2065401503570299,0.0081896480518579,0.1915542349489815,0.222854033058144,0.2283298097251585,-0.0217896593681286,0.0232730750612877
MIMIC,0.35,history_MAR,strong,naive,reconstructed,event_rate,300,0.2576443134560237,0.0095776041500206,0.2396730758910376,0.2766368530326334,0.2283298097251585,0.0293145037308651,0.0308344752169367
MIMIC,0.35,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.3243955237113394,0.0084730015947169,0.3086866349215471,0.340937100157603,0.2283298097251585,0.0960657139861808,0.0964374089959149
MIMIC,0.35,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.5179356497431786,0.0115657919479978,0.4946792610813002,0.5388479098600989,0.2283298097251585,0.28960584001802,0.2898359263861472
MIMIC,0.35,risk_MAR,strong,naive,reconstructed,event_rate,300,0.2705237370449522,0.0081494537302823,0.2536833667255632,0.2861472024250277,0.2283298097251585,0.0421939273197936,0.0429711498579729
MIMIC,0.35,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2285587649981225,0.0076128321757847,0.2155281769072871,0.2428088784864292,0.2283298097251585,0.000228955272964,0.0076035814066722
MIMIC,0.55,MCAR,strong,naive,reconstructed,event_rate,300,0.2075231646570616,0.0048947352475647,0.1976614338889787,0.2172594342329246,0.2283298097251585,-0.0208066450680969,0.0213727642266905
MIMIC,0.55,history_MAR,strong,naive,reconstructed,event_rate,300,0.2286252165483698,0.0052320091068686,0.217165887647116,0.2385894683418908,0.2283298097251585,0.0002954068232112,0.0052316286267192
MIMIC,0.55,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.2704096120878207,0.0049749999383171,0.2604094073696722,0.2811703254828087,0.2283298097251585,0.0420798023626622,0.0423718997589874
MIMIC,0.55,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.3290933202394566,0.0048973518265384,0.3183653514678491,0.3385639758374519,0.2283298097251585,0.100763510514298,0.1008820556849841
MIMIC,0.55,risk_MAR,strong,naive,reconstructed,event_rate,300,0.2521903345088363,0.0047945034275236,0.2437165617623918,0.2626021142415874,0.2283298097251585,0.0238605247836777,0.0243358846532984
MIMIC,0.55,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2254929816172551,0.0048174481585214,0.216098471611096,0.2349601839893541,0.2283298097251585,-0.0028368281079033,0.0055837300362719
MIMIC,0.75,MCAR,strong,naive,reconstructed,event_rate,300,0.2144418538144241,0.0029828388012892,0.208635995576095,0.2203120880902132,0.2283298097251585,-0.0138879559107344,0.0142036259080301
MIMIC,0.75,history_MAR,strong,naive,reconstructed,event_rate,300,0.2206203460843906,0.0029419499251426,0.2155613639242721,0.2267162206609635,0.2283298097251585,-0.0077094636407678,0.008249972652025
MIMIC,0.75,mixed_MNAR,strong,naive,reconstructed,event_rate,300,0.2410154054927884,0.0027839119206997,0.2363654527433252,0.2466244897833041,0.2283298097251585,0.0126855957676298,0.0129864803421346
MIMIC,0.75,outcome_MNAR,strong,naive,reconstructed,event_rate,300,0.2529604083459401,0.00199867165483,0.2490571364737423,0.2567240027751998,0.2283298097251585,0.0246305986207815,0.0247112881326311
MIMIC,0.75,risk_MAR,strong,naive,reconstructed,event_rate,300,0.239678542932322,0.0026684381239595,0.2349870369252852,0.2445656566080261,0.2283298097251585,0.0113487332071634,0.011657211168287
MIMIC,0.75,stratum_MAR,strong,naive,reconstructed,event_rate,300,0.2234401924050355,0.0029091922482364,0.2185652784827961,0.2292946296501804,0.2283298097251585,-0.004889617320123,0.0056871386252364
