database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse,method_label
INSPIRE,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.5887937590996686,0.1231356599445851,1.3419463027728833,1.8372793197906647,1.7981835040786758,-0.2093897449790072,0.2428083910202902,AIPW
INSPIRE,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.62112511842602,0.1390668628578683,1.348286429135992,1.900105423523841,1.7981835040786758,-0.1770583856526557,0.2249995532600823,IPAW truncated
INSPIRE,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.590675635870264,0.1367946651247034,1.3233196212406817,1.8736561450829223,1.7981835040786758,-0.2075078682084117,0.2484148140515994,IPAW untruncated
INSPIRE,0.35,mixed_MNAR,strong,naive,reconstructed,oe,300,3.1444787623076755,0.1764671088907665,2.816121311980571,3.4919115082744976,1.7981835040786758,1.3462952582289998,1.3577730888167905,Naive
INSPIRE,0.55,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.670405541781983,0.076087385075247,1.5117741905251312,1.813697844744172,1.7981835040786758,-0.1277779622966928,0.1486512703692503,AIPW
INSPIRE,0.55,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.6808688433293606,0.0842691578990694,1.517601459602881,1.847785855305228,1.7981835040786758,-0.1173146607493151,0.1443618704154081,IPAW truncated
INSPIRE,0.55,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.6688179302119015,0.0832556285975849,1.505722786892236,1.833830910098654,1.7981835040786758,-0.129365573866774,0.1537655565986138,IPAW untruncated
INSPIRE,0.55,mixed_MNAR,strong,naive,reconstructed,oe,300,2.494222535660064,0.1001256739679902,2.285141526292286,2.6881647597196743,1.7981835040786758,0.6960390315813878,0.7031799676495876,Naive
INSPIRE,0.75,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.745174354859023,0.0444034765880861,1.6617597428044546,1.830840684107428,1.7981835040786758,-0.0530091492196527,0.0691018552933981,AIPW
INSPIRE,0.75,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.7476150412337137,0.0467118795363923,1.6536353197738225,1.8417241004328169,1.7981835040786758,-0.0505684628449623,0.0687887766428893,IPAW truncated
INSPIRE,0.75,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.7441013848580922,0.0467221644762898,1.6506285779261154,1.8374212674253496,1.7981835040786758,-0.0540821192205835,0.0714182031223675,IPAW untruncated
INSPIRE,0.75,mixed_MNAR,strong,naive,reconstructed,oe,300,2.11741742312145,0.0514679814110707,2.0159467185687427,2.213232569963369,1.7981835040786758,0.3192339190427742,0.323342571175274,Naive
