database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse,method_label
MIMIC,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.8005070100563636,0.0311579631662834,0.7419285280340102,0.8686660939839063,1.014641724383521,-0.2141347143271574,0.2163822046435795,AIPW
MIMIC,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.8102843896575507,0.028136861525778,0.7626253488826523,0.8686273184907557,1.014641724383521,-0.2043573347259704,0.2062788508053311,IPAW truncated
MIMIC,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.801788772173768,0.0285582743966057,0.7509519396579716,0.86478732064042,1.014641724383521,-0.2128529522097531,0.2147538956979926,IPAW untruncated
MIMIC,0.35,mixed_MNAR,strong,naive,reconstructed,oe,300,1.1730111890855317,0.0300360123456981,1.1171500508168684,1.2323006910088397,1.014641724383521,0.1583694647020104,0.1611832565151855,Naive
MIMIC,0.55,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.8912741706843396,0.0191038389493095,0.8515354387415927,0.9297294845769004,1.014641724383521,-0.1233675536991815,0.1248330623116846,AIPW
MIMIC,0.55,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.8958177731332163,0.0185956299246804,0.8565315585734773,0.9330034835149283,1.014641724383521,-0.1188239512503047,0.1202654405257642,IPAW truncated
MIMIC,0.55,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.8918229301715886,0.0185380969359956,0.8525921784920637,0.9291744469364314,1.014641724383521,-0.1228187942119324,0.1242053610472913,IPAW untruncated
MIMIC,0.55,mixed_MNAR,strong,naive,reconstructed,oe,300,1.067656168301364,0.0191350594239814,1.0299125895298298,1.1067264142331643,1.014641724383521,0.0530144439178428,0.0563512312324543,Naive
MIMIC,0.75,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,0.9602435895348028,0.0114690074261272,0.9406634952840331,0.9836024745036552,1.014641724383521,-0.0543981348487181,0.0555900777650299,AIPW
MIMIC,0.75,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.9618365294303116,0.0113991737253773,0.9424872720565124,0.9851013352179656,1.014641724383521,-0.0528051949532094,0.0540175586125694,IPAW truncated
MIMIC,0.75,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,0.9603249075524916,0.0113959630184233,0.9409276454627884,0.9835706548343632,1.014641724383521,-0.0543168168310295,0.0554955103637146,IPAW untruncated
MIMIC,0.75,mixed_MNAR,strong,naive,reconstructed,oe,300,1.0173569379968774,0.0110985373572394,0.9975964957375012,1.0400024551101563,1.014641724383521,0.0027152136133563,0.0114078624055792,Naive
