database,retention_target,mechanism,strength,method,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
INSPIRE,0.35,outcome_MNAR,strong,naive,event_rate,300,0.231095490225396,0.0070727158750758,0.2170418006430868,0.2443751951447974,0.0823389021479713,0.1487565880774247,0.1489240714656969
INSPIRE,0.35,outcome_MNAR,strong,oracle_IPW_untruncated,event_rate,300,0.0823327391821313,0.0030085647025267,0.0764100026668289,0.0880239059496656,0.0823389021479713,-6.162965840064705e-06,0.0030035525653588
INSPIRE,0.35,risk_MAR,strong,naive,event_rate,300,0.1279472905793383,0.0080854471486742,0.1128783686011351,0.1440874811463046,0.0823389021479713,0.045608388431367,0.0463171851049745
INSPIRE,0.35,risk_MAR,strong,oracle_IPW_untruncated,event_rate,300,0.0821518044142968,0.008540121895768,0.0650115863396037,0.1005229985234137,0.0823389021479713,-0.0001870977336745,0.0085279291321637
MIMIC,0.35,outcome_MNAR,strong,naive,event_rate,300,0.5621748482550557,0.0105833226863783,0.5407745937637242,0.5840770444785043,0.2283298097251585,0.3338450385298971,0.3340121900685395
MIMIC,0.35,outcome_MNAR,strong,oracle_IPW_untruncated,event_rate,300,0.2288431913565064,0.0075968106420699,0.21382838716621,0.2449129574879374,0.2283298097251585,0.0005133816313478,0.0076014946463026
MIMIC,0.35,risk_MAR,strong,naive,event_rate,300,0.2887316662872745,0.0106976157423214,0.2701892940017165,0.3102273077587056,0.2283298097251585,0.0604018565621159,0.0613387462819836
MIMIC,0.35,risk_MAR,strong,oracle_IPW_untruncated,event_rate,300,0.2270001540463866,0.0167939427806121,0.1995990030746677,0.2602662095923106,0.2283298097251585,-0.0013296556787719,0.0168185723718999
EICU,0.35,outcome_MNAR,strong,naive,event_rate,300,0.5562624771147597,0.0104373172886568,0.5357433418634698,0.5775537581376997,0.2247156470949892,0.3315468300197705,0.3317105288697289
EICU,0.35,outcome_MNAR,strong,oracle_IPW_untruncated,event_rate,300,0.2256628782594872,0.0073775477112109,0.2114280011296775,0.2410709532858091,0.2247156470949892,0.000947231164498,0.007425902621416
EICU,0.35,risk_MAR,strong,naive,event_rate,300,0.2704945835474556,0.0086512777944607,0.253140023021193,0.2858566239531833,0.2247156470949892,0.0457789364524664,0.0465865447116542
EICU,0.35,risk_MAR,strong,oracle_IPW_untruncated,event_rate,300,0.224602998270027,0.0155687299755048,0.193995863679268,0.2547571132675928,0.2247156470949892,-0.0001126488249621,0.015543168648352
