database_inspire,retention_target,mechanism,strength,method,evaluation_target_inspire,metric_inspire,n_replicates_inspire,mean_inspire,sd_inspire,q025_inspire,q975_inspire,truth_inspire,bias_inspire,rmse_inspire,database_mimic,evaluation_target_mimic,metric_mimic,n_replicates_mimic,mean_mimic,sd_mimic,q025_mimic,q975_mimic,truth_mimic,bias_mimic,rmse_mimic
INSPIRE,0.35,MCAR,strong,AIPW_design_probability,reconstructed,oe,300,1.3909061100298066,0.2353404964719072,0.9916377949264872,1.8978888647433647,1.7981835040786758,-0.4072773940488692,0.47018656703336,MIMIC,reconstructed,oe,300,0.7582828079386638,0.03666942395738,0.6935754991049012,0.8323382945434632,1.014641724383521,-0.2563589164448573,0.258959569312733
INSPIRE,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.3924418115939112,0.238129322409632,0.9913229315007202,1.9208669887420315,1.7981835040786758,-0.4057416924847645,0.4702583084125512,MIMIC,reconstructed,oe,300,0.758644548299079,0.0354844063959851,0.6983353248076098,0.8283031914315413,1.014641724383521,-0.255997176084442,0.2584366462342882
INSPIRE,0.35,MCAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.3924418115939112,0.238129322409632,0.9913229315007202,1.9208669887420315,1.7981835040786758,-0.4057416924847645,0.4702583084125512,MIMIC,reconstructed,oe,300,0.7581531664122066,0.03550912239872,0.6976442669402745,0.8296426640415078,1.014641724383521,-0.2564885579713144,0.2589267756551129
INSPIRE,0.35,MCAR,strong,naive,reconstructed,oe,300,1.8214157575791643,0.2118842299935028,1.4484688697375323,2.2378900257401413,1.7981835040786758,0.0232322535004887,0.2128027602411462,MIMIC,reconstructed,oe,300,0.883533275767409,0.0345601378871771,0.8214048135458195,0.9555566676646268,1.014641724383521,-0.131108448616112,0.1355722946827083
INSPIRE,0.35,MCAR,strong,recalibration_intercept_slope_truth,full,oe,300,1.0199422416727628,0.126893335230322,0.8051630695622976,1.2862299071119752,1.0,0.0199422416727628,0.1282417189024572,MIMIC,full,oe,300,1.1401478739805262,0.0451211447138634,1.054523254696594,1.227138806789083,1.0,0.1401478739805262,0.1472092316711713
INSPIRE,0.35,MCAR,strong,recalibration_intercept_truth,full,oe,300,0.9952908479355624,0.116888225999502,0.7947905312356516,1.25100541402917,1.0,-0.0047091520644376,0.1167882298545204,MIMIC,full,oe,300,1.1517696601792924,0.0456433596597184,1.0630224953601373,1.237923952993507,1.0,0.1517696601792924,0.1584626190757962
INSPIRE,0.35,MCAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0643529887081395,0.3138653101844055,0.6329638649015042,1.801266814025083,1.0,0.0643529887081395,0.319881804186639,MIMIC,full_heldout,oe,300,1.0144007702029447,0.1259831235554547,0.817961567661407,1.3121993941627343,1.0,0.0144007702029447,0.1265947225538689
INSPIRE,0.35,MCAR,weak,AIPW_design_probability,reconstructed,oe,300,1.4245368421296165,0.2218741482287871,0.9816876570578272,1.8838606810456329,1.7981835040786758,-0.3736466619490592,0.434368359627805,MIMIC,reconstructed,oe,300,0.7588322395362148,0.0359792657786658,0.6901797366619896,0.8301221168863185,1.014641724383521,-0.2558094848473062,0.2583189599673166
INSPIRE,0.35,MCAR,weak,IPAW_design_probability_truncated99,reconstructed,oe,300,1.4230646070207862,0.2193199797721252,0.982646422220843,1.8772201837203832,1.7981835040786758,-0.3751188970578896,0.4343444519565265,MIMIC,reconstructed,oe,300,0.7594415919267374,0.0346386400149404,0.6945681735207208,0.8294575848504491,1.014641724383521,-0.2552001324567836,0.2575324125945527
INSPIRE,0.35,MCAR,weak,IPAW_design_probability_untruncated,reconstructed,oe,300,1.4230646070207862,0.2193199797721252,0.982646422220843,1.8772201837203832,1.7981835040786758,-0.3751188970578896,0.4343444519565265,MIMIC,reconstructed,oe,300,0.758924762295697,0.0346918321306566,0.6942061113416128,0.8290516543993367,1.014641724383521,-0.255716962087824,0.2580516928290764
