database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse,reference_fraction
INSPIRE,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,oe,300,1.129656251830859,0.525434677791057,0.5521683131486046,2.4663954716590664,1.0,0.129656251830859,0.5403444015275206,0.05
INSPIRE,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0633182680560105,0.3029858298345194,0.6341406978615513,1.770458225144435,1.0,0.0633182680560104,0.3090365913175819,0.1
INSPIRE,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.028576378822778,0.2089181795537092,0.6909630648353056,1.4817156000082583,1.0,0.0285763788227779,0.2105182315671623,0.2
INSPIRE,0.35,mixed_MNAR,strong,reference_30pct_recalibration,full_heldout,oe,300,1.0221002997369912,0.1798265756601496,0.733527666571193,1.3446025881330192,1.0,0.0221002997369912,0.1808818082922516,0.3
MIMIC,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,oe,300,1.0351096093407963,0.181641954375881,0.782477059322359,1.4938301473299187,1.0,0.0351096093407965,0.1847065373114552,0.05
MIMIC,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0149150184192528,0.1178583455179585,0.8339638810846828,1.2861010066845735,1.0,0.0149150184192528,0.1186033111566299,0.1
MIMIC,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.0170075799866534,0.0904672370087273,0.8680003447876896,1.2073999161496207,1.0,0.0170075799866533,0.0919037413769919,0.2
MIMIC,0.35,mixed_MNAR,strong,reference_30pct_recalibration,full_heldout,oe,300,1.0112080579038492,0.0793268200664739,0.8844050942886157,1.177920367568437,1.0,0.0112080579038491,0.0799836803931187,0.3
EICU,0.35,mixed_MNAR,strong,reference_05pct_recalibration,full_heldout,oe,300,1.0219921453193632,0.155873496399368,0.763959432134169,1.370717723425852,1.0,0.0219921453193632,0.1571598321643051,0.05
EICU,0.35,mixed_MNAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0166264384592243,0.1094893378023633,0.8080617548169688,1.2553006075417414,1.0,0.0166264384592242,0.1105639807137194,0.1
EICU,0.35,mixed_MNAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.0050233730136655,0.0810385668638244,0.8598544492666764,1.1818967565543907,1.0,0.0050233730136657,0.0810591929685491,0.2
EICU,0.35,mixed_MNAR,strong,reference_30pct_recalibration,full_heldout,oe,300,1.0025517264434132,0.0712409204886624,0.8661364305748499,1.153453760464477,1.0,0.0025517264434131,0.0711678473568438,0.3
