database,variable,level,type,candidate_value,dense_value,standardized_difference,absolute_standardized_difference,candidate_n,dense_n
INSPIRE,Age,,continuous,62.12824106517169,63.12350835322196,0.0833868498802138,0.0833868498802138,7135,1676
INSPIRE,PreopCr,,continuous,76.07496016247462,81.59594272076372,0.1389614476041409,0.1389614476041409,7135,1676
INSPIRE,PreopHb,,continuous,127.6953273998728,126.0938452163315,-0.0839563484726334,0.0839563484726334,7135,1676
INSPIRE,PreopAlb,,continuous,39.80820824017886,39.10727272727273,-0.1485850879569337,0.1485850879569337,7135,1676
INSPIRE,n_postop_creatinine_7d,,continuous,3.721206969825753,5.586515513126492,0.7906649012277541,0.7906649012277541,7135,1676
INSPIRE,restricted_rf_probability,,continuous,0.0406342873109084,0.0457900442091747,0.1948015472845687,0.1948015472845687,7135,1676
INSPIRE,Gender,Female,categorical,0.3805185704274702,0.3210023866348448,-0.1249606633905909,0.1249606633905909,7135,1676
INSPIRE,Gender,Male,categorical,0.6194814295725298,0.6789976133651552,0.1249606633905909,0.1249606633905909,7135,1676
INSPIRE,Gastrocolorectal,1,categorical,0.4685353889278206,0.6992840095465394,0.4815128096814546,0.4815128096814546,7135,1676
INSPIRE,Gastrocolorectal,2,categorical,0.5314646110721793,0.3007159904534606,-0.4815128096814545,0.4815128096814545,7135,1676
INSPIRE,SurgicalApproach,1.0,categorical,0.4927820602662929,0.4564439140811456,-0.0728183708231688,0.0728183708231688,7135,1676
INSPIRE,SurgicalApproach,2.0,categorical,0.5045550105115627,0.5423627684964201,0.0757531596900581,0.0757531596900581,7135,1676
INSPIRE,AnyIntraopTransfusion,0,categorical,0.9946741415557112,0.9874701670644392,-0.0766416481182206,0.0766416481182206,7135,1676
INSPIRE,AnyIntraopTransfusion,1,categorical,0.0053258584442887,0.0125298329355608,0.07664164811822,0.07664164811822,7135,1676
MIMIC-IV,age,,continuous,65.74537987679672,66.75570904990133,0.071832417003188,0.071832417003188,9253,7094
MIMIC-IV,baseline_creatinine,,continuous,1.211574624446126,1.269312094727939,0.0455944058523631,0.0455944058523631,9253,7094
MIMIC-IV,baseline_albumin,,continuous,3.809,3.811705685618729,0.0043641314130381,0.0043641314130381,9253,7094
MIMIC-IV,baseline_bun,,continuous,20.84801475374268,21.57774950523043,0.052068023865947,0.052068023865947,9253,7094
MIMIC-IV,baseline_hemoglobin,,continuous,11.72700266134398,11.6676103259302,-0.0262673203245349,0.0262673203245349,9253,7094
MIMIC-IV,n_postop_creatinine,,continuous,7.161028855506323,8.4720890893713,0.3474075670111382,0.3474075670111382,9253,7094
MIMIC-IV,gender,F,categorical,0.4118664217010699,0.3923033549478432,-0.0399066004496458,0.0399066004496458,9253,7094
MIMIC-IV,gender,M,categorical,0.5881335782989301,0.6076966450521567,0.0399066004496457,0.0399066004496457,9253,7094
MIMIC-IV,admission_type,DIRECT EMER.,categorical,0.0616016427104722,0.0703411333521285,0.0352123914524469,0.0352123914524469,9253,7094
MIMIC-IV,admission_type,DIRECT OBSERVATION,categorical,0.0007565114017075,0.0001409641950944,-0.0290675458176451,0.0290675458176451,9253,7094
MIMIC-IV,admission_type,ELECTIVE,categorical,0.125580892683454,0.144770228361996,0.05614588575585,0.05614588575585,9253,7094
MIMIC-IV,admission_type,EU OBSERVATION,categorical,0.0034583378363773,0.0,-0.0833107369139983,0.0833107369139983,9253,7094
MIMIC-IV,admission_type,EW EMER.,categorical,0.2552685615476062,0.228502960248097,-0.0625340722723355,0.0625340722723355,9253,7094
MIMIC-IV,admission_type,OBSERVATION ADMIT,categorical,0.1442775316113692,0.1406822667042571,-0.0102857907504612,0.0102857907504612,9253,7094
MIMIC-IV,admission_type,SURGICAL SAME DAY ADMISSION,categorical,0.1971252566735113,0.1692979983084296,-0.0719813895236279,0.0719813895236279,9253,7094
MIMIC-IV,admission_type,URGENT,categorical,0.211931265535502,0.2462644488299971,0.0817648346762863,0.0817648346762863,9253,7094
MIMIC-IV,active_service,CSURG,categorical,0.3217334918404841,0.3920214265576544,0.147111306235639,0.147111306235639,9253,7094
MIMIC-IV,active_service,ENT,categorical,0.0084296984761698,0.0077530307301945,-0.0075532150844072,0.0075532150844072,9253,7094
MIMIC-IV,active_service,GU,categorical,0.0168593969523397,0.0153650972652946,-0.0118684640311419,0.0118684640311419,9253,7094
MIMIC-IV,active_service,GYN,categorical,0.0153463741489246,0.0156470256554835,0.0024340836910805,0.0024340836910805,9253,7094
MIMIC-IV,active_service,NSURG,categorical,0.1855614395331244,0.123907527488018,-0.1711015749364093,0.1711015749364093,9253,7094
MIMIC-IV,active_service,ORTHO,categorical,0.0671133686371987,0.0594868903298562,-0.0313238235375844,0.0313238235375844,9253,7094
MIMIC-IV,active_service,PSURG,categorical,0.0033502647789905,0.0031012122920778,-0.0043921679766949,0.0043921679766949,9253,7094
MIMIC-IV,active_service,SURG,categorical,0.2210094023559926,0.2366788835635748,0.0373069014464941,0.0373069014464941,9253,7094
MIMIC-IV,active_service,TRAUM,categorical,0.0482005835945098,0.0332675500422892,-0.0755978900350318,0.0755978900350318,9253,7094
MIMIC-IV,active_service,TSURG,categorical,0.0500378255700853,0.0494784324781505,-0.0025725768409522,0.0025725768409522,9253,7094
MIMIC-IV,active_service,VSURG,categorical,0.0623581541121798,0.0632929235974062,0.0038523611877386,0.0038523611877386,9253,7094
MIMIC-IV,diabetes,0,categorical,0.7245217767210634,0.69847758669298,-0.0575082053559453,0.0575082053559453,9253,7094
MIMIC-IV,diabetes,1,categorical,0.2754782232789365,0.30152241330702,0.0575082053559453,0.0575082053559453,9253,7094
eICU,age_num,,continuous,64.30268903700299,65.44514397770668,0.0718766360518962,0.0718766360518962,21755,9689
eICU,baseline_creatinine,,continuous,1.288075109170306,1.397005882960058,0.1004826653187573,0.1004826653187573,21755,9689
eICU,admissionheight,,continuous,170.1418274703742,170.0474304401993,-0.0077637426734256,0.0077637426734256,21755,9689
eICU,admissionweight,,continuous,84.93185503802282,85.67579080824089,0.0288691278449205,0.0288691278449205,21755,9689
eICU,n_creatinine_0_168h,,continuous,4.314916111238795,7.067499225926309,0.878517801716077,0.878517801716077,21755,9689
eICU,gender,Female,categorical,0.4168237186853596,0.4185158427082258,0.0034310862795805,0.0034310862795805,21755,9689
eICU,gender,Male,categorical,0.5829924155366583,0.5814841572917742,-0.0030581692545704,0.0030581692545704,21755,9689
eICU,gender,Other,categorical,9.193288899103656e-05,0.0,-0.0135603349091511,0.0135603349091511,21755,9689
eICU,gender,Unknown,categorical,9.193288899103656e-05,0.0,-0.0135603349091511,0.0135603349091511,21755,9689
eICU,unittype,CCU-CTICU,categorical,0.3962307515513675,0.3931262256166787,-0.0063515935671849,0.0063515935671849,21755,9689
eICU,unittype,CSICU,categorical,0.1708113077453459,0.1043451336567241,-0.1938638012278051,0.1938638012278051,21755,9689
eICU,unittype,CTICU,categorical,0.1441048034934497,0.1705026318505521,0.0725518906174274,0.0725518906174274,21755,9689
eICU,unittype,SICU,categorical,0.2888531372098368,0.332026008876045,0.0934134534414441,0.0934134534414441,21755,9689
eICU,region,Midwest,categorical,0.3677315559641462,0.378573640210548,0.0224189831732936,0.0224189831732936,21755,9689
eICU,region,Northeast,categorical,0.0665134451850149,0.0806068737743833,0.0540063711409741,0.0540063711409741,21755,9689
eICU,region,South,categorical,0.29579407032866,0.3143771287026525,0.0403672462628516,0.0403672462628516,21755,9689
eICU,region,West,categorical,0.195035623994484,0.1585302920838063,-0.0958024479808546,0.0958024479808546,21755,9689
eICU,teachingstatus,False,categorical,0.6205010342450011,0.5823098358963773,-0.0780628651055975,0.0780628651055975,21755,9689
eICU,teachingstatus,True,categorical,0.3794989657549988,0.4176901641036226,0.0780628651055974,0.0780628651055974,21755,9689
