database,policy,policy_value,selected_n,selected_fraction,event_capture,ppv,false_alerts,net_benefit,net_benefit_all,additional_tests_per_selected,additional_tests,tests_per_event_captured
source_3710,top_fraction,0.1,371,0.1,0.3881578947368421,0.1590296495956873,312,0.0087019295595207,,1.0,371.0,6.288135593220339
source_3710,top_fraction,0.2,742,0.2,0.5263157894736842,0.1078167115902965,662,0.0115739682631236,,1.0,742.0,9.275
source_3710,top_fraction,0.3,1113,0.3,0.6513157894736842,0.0889487870619946,1014,0.0147817428097751,,1.0,1113.0,11.242424242424242
source_3710,top_fraction,0.4,1484,0.4,0.7171052631578947,0.0734501347708894,1375,0.0159876044265487,,1.0,1484.0,13.614678899082568
INSPIRE_dense,top_fraction,0.1,168,0.1002386634844868,0.2536231884057971,0.2083333333333333,133,0.0130965586495774,,1.0,168.0,4.8
INSPIRE_dense,top_fraction,0.2,336,0.2004773269689737,0.4420289855072464,0.181547619047619,275,0.0247604579036562,,1.0,336.0,5.508196721311475
INSPIRE_dense,top_fraction,0.3,503,0.3001193317422434,0.5869565217391305,0.1610337972166998,422,0.0349127057127353,,1.0,503.0,6.209876543209877
INSPIRE_dense,top_fraction,0.4,671,0.4003579952267303,0.7536231884057971,0.1549925484351713,567,0.0472917776312273,,1.0,671.0,6.451923076923077
MIMIC_temporal_test,top_fraction,0.1,284,0.1000704721634954,0.1589506172839506,0.3626760563380282,181,-0.0021378911818492,,1.0,284.0,2.7572815533980584
MIMIC_temporal_test,top_fraction,0.2,568,0.2001409443269908,0.3179012345679012,0.3626760563380282,362,0.0153107015338993,,1.0,568.0,2.7572815533980584
MIMIC_temporal_test,top_fraction,0.3,852,0.3002114164904862,0.4567901234567901,0.3474178403755869,556,0.0329457153575143,,1.0,852.0,2.8783783783783785
MIMIC_temporal_test,top_fraction,0.4,1135,0.3999295278365046,0.5817901234567902,0.33215859030837,758,0.0507823604879026,,1.0,1135.0,3.010610079575597
