database,group_variable,group,metric,n,events,n_replicates,independent_unit,full_reference_mean,full_reference_q025,full_reference_q975,apparent_reconstructed_mean,apparent_reconstructed_q025,apparent_reconstructed_q975,measurement_induced_gap_mean,measurement_induced_gap_q025,measurement_induced_gap_q975,outcome_observed_fraction_mean,outcome_observed_fraction_q025,outcome_observed_fraction_q975,reconstructed_sensitivity_mean,reconstructed_sensitivity_q025,reconstructed_sensitivity_q975,variable_label,label
MIMIC-IV,age,65-74,oe,2128,513,100,Monte Carlo replicate,1.1074512571703718,1.1074512571703723,1.1074512571703723,1.1869937549947769,1.146342875742905,1.2267487180383458,0.0795424978244045,0.0388916185725327,0.1192974608679734,0.7163862781954887,0.7015742481203007,0.7333294172932331,0.80719298245614,0.7787037037037037,0.8323586744639376,age,MIMIC-IV: age=65-74
MIMIC-IV,age,75+,oe,2169,538,100,Monte Carlo replicate,1.0589673677195592,1.0589673677195597,1.0589673677195597,1.1184586171834148,1.0788739937283731,1.158853066165027,0.0594912494638554,0.0199066260088136,0.0998856984454675,0.7888934993084369,0.7752074688796681,0.8027201475334256,0.8587918215613383,0.8335966542750929,0.8875929368029739,age,MIMIC-IV: age=75+
MIMIC-IV,age,<65,oe,2797,547,100,Monte Carlo replicate,0.9676575774229244,0.9676575774229242,0.9676575774229242,1.12142865695263,1.0787712350798364,1.1566625677426,0.1537710795297057,0.1111136576569122,0.1890049903196758,0.6019377904898104,0.5866821594565605,0.6156596353235609,0.7536014625228519,0.7238574040219379,0.7835009140767825,age,MIMIC-IV: age=<65
MIMIC-IV,race_or_ethnicity,Asian,oe,168,42,100,Monte Carlo replicate,1.1004646151044757,1.1004646151044757,1.1004646151044757,1.111845858820445,0.9924853869986332,1.2218247067200527,0.0113812437159693,-0.1079792281058425,0.1213600916155769,0.8061904761904763,0.7619047619047619,0.8543154761904761,0.8495238095238097,0.7619047619047619,0.9410714285714284,race/ethnicity,MIMIC-IV: race/ethnicity=Asian
MIMIC-IV,race_or_ethnicity,Black,oe,435,126,100,Monte Carlo replicate,1.19661101649772,1.1966110164977195,1.1966110164977195,1.2726034520352132,1.178778912175348,1.364206718526142,0.0759924355374933,-0.0178321043223716,0.1675957020284222,0.7545747126436781,0.7172413793103448,0.7839080459770115,0.8472222222222223,0.7857142857142857,0.9047619047619048,race/ethnicity,MIMIC-IV: race/ethnicity=Black
MIMIC-IV,race_or_ethnicity,Hispanic or Latino,oe,247,57,100,Monte Carlo replicate,1.0805440825489772,1.0805440825489767,1.0805440825489767,1.2346702182522558,1.137107317932363,1.3393721688877882,0.1541261357032793,0.0565632353833861,0.2588280863388115,0.7263157894736841,0.6761133603238867,0.7713562753036437,0.8796491228070176,0.8070175438596491,0.9473684210526316,race/ethnicity,MIMIC-IV: race/ethnicity=Hispanic or Latino
MIMIC-IV,race_or_ethnicity,Other or unknown,oe,1344,287,100,Monte Carlo replicate,1.01721491897589,1.0172149189758894,1.0172149189758894,1.098293367956142,1.0426652979631534,1.158552559815274,0.0810784489802525,0.025450378987264,0.1413376408393844,0.7011086309523807,0.6848400297619047,0.7185081845238095,0.7997212543554008,0.759581881533101,0.8362369337979094,race/ethnicity,MIMIC-IV: race/ethnicity=Other or unknown
MIMIC-IV,race_or_ethnicity,White,oe,4900,1086,100,Monte Carlo replicate,1.0262775240595676,1.026277524059568,1.026277524059568,1.133949434577167,1.096095232798978,1.1603173982267134,0.107671910517599,0.06981770873941,0.1340398741671453,0.680373469387755,0.66825,0.6923622448979592,0.7976519337016573,0.7762430939226519,0.8176795580110497,race/ethnicity,MIMIC-IV: race/ethnicity=White
MIMIC-IV,sex,Female,oe,2783,575,100,Monte Carlo replicate,1.0064723992151374,1.006472399215137,1.006472399215137,1.146489078195013,1.094066423482061,1.1839463049700143,0.1400166789798758,0.0875940242669238,0.1774739057548774,0.621706791232483,0.6060905497664392,0.6387082285303629,0.7605217391304349,0.7304347826086957,0.7879130434782609,sex,MIMIC-IV: sex=Female
MIMIC-IV,sex,Male,oe,4311,1023,100,Monte Carlo replicate,1.059831030193259,1.059831030193259,1.059831030193259,1.1375725759291084,1.1037566636058682,1.1637518345179474,0.0777415457358493,0.0439256334126093,0.1039208043246884,0.7397332405474367,0.7288854094177685,0.7531895151936906,0.831906158357771,0.8112903225806452,0.8524926686217009,sex,MIMIC-IV: sex=Male
