Center,SurgeryYear,n,events,event_rate,event_rate_ci_lower,event_rate_ci_upper
1,2017,4,0,0.0,0.0,0.4898908364545973
1,2018,155,11,0.0709677419354838,0.0400863647845805,0.122600751114203
1,2019,151,4,0.0264900662251655,0.0103486302569595,0.0661261001600826
1,2020,136,10,0.0735294117647058,0.0404273412457368,0.1300618614682011
1,2021,176,9,0.0511363636363636,0.027133181805272,0.0943152259418567
1,2022,143,5,0.0349650349650349,0.0150257219553681,0.0792355236891314
2,2019,6,0,0.0,2.775557561562892e-17,0.3903342879021653
2,2020,169,9,0.0532544378698224,0.0282671470790553,0.0980998656140768
2,2021,351,18,0.0512820512820512,0.0326813503661516,0.0795982545963183
2,2022,268,15,0.0559701492537313,0.0342085922988406,0.0902810972706075
3,2017,2,0,0.0,0.0,0.6576197724933469
3,2018,130,6,0.0461538461538461,0.0213219530680661,0.0970379255545716
3,2019,227,22,0.0969162995594713,0.0648750864195643,0.1423730355820165
3,2020,188,12,0.0638297872340425,0.0368869111491923,0.1082405237225176
3,2021,184,10,0.0543478260869565,0.0297852569605496,0.0971380483117556
3,2022,254,6,0.0236220472440944,0.0108701341887397,0.0505686231513296
4,2021,18,0,0.0,0.0,0.1758792236466576
4,2022,512,11,0.021484375,0.012038074956831,0.038057663527959
4,2023,308,3,0.0097402597402597,0.003317989725046,0.0282411841510384
4,2024,153,0,0.0,1.734723475976807e-18,0.0244926236313945
5,2018,22,0,0.0,0.0,0.1486548746086208
5,2019,10,0,0.0,0.0,0.2775327998628892
5,2020,55,0,0.0,0.0,0.0652849011170863
5,2021,69,1,0.0144927536231884,0.0025629246445884,0.0776312246114472
5,2022,11,0,0.0,0.0,0.2588329669680317
5,2023,8,0,0.0,0.0,0.3244075648838802
