variable,center,n,n_missing_effective,missing_rate_effective
Age,1,765,0,0.0
Age,2,794,0,0.0
Age,3,985,0,0.0
Age,4,991,0,0.0
Age,5,175,0,0.0
Gender,1,765,0,0.0
Gender,2,794,0,0.0
Gender,3,985,0,0.0
Gender,4,991,0,0.0
Gender,5,175,0,0.0
Gastrocolorectal,1,765,0,0.0
Gastrocolorectal,2,794,0,0.0
Gastrocolorectal,3,985,0,0.0
Gastrocolorectal,4,991,0,0.0
Gastrocolorectal,5,175,0,0.0
Diabetes,1,765,0,0.0
Diabetes,2,794,0,0.0
Diabetes,3,985,0,0.0
Diabetes,4,991,0,0.0
Diabetes,5,175,0,0.0
Hypertension,1,765,0,0.0
Hypertension,2,794,0,0.0
Hypertension,3,985,0,0.0
Hypertension,4,991,0,0.0
Hypertension,5,175,0,0.0
PreopCr,1,765,15,0.0196078431372549
PreopCr,2,794,3,0.003778337531486146
PreopCr,3,985,1,0.0010152284263959391
PreopCr,4,991,33,0.033299697275479316
PreopCr,5,175,0,0.0
PreopHb,1,765,5,0.006535947712418301
PreopHb,2,794,2,0.0025188916876574307
PreopHb,3,985,2,0.0020304568527918783
PreopHb,4,991,11,0.011099899091826439
PreopHb,5,175,0,0.0
PreopAlb,1,765,30,0.0392156862745098
PreopAlb,2,794,3,0.003778337531486146
PreopAlb,3,985,5,0.005076142131979695
PreopAlb,4,991,30,0.030272452068617558
PreopAlb,5,175,0,0.0
BMI,1,765,765,1.0
BMI,2,794,9,0.011335012594458438
BMI,3,985,26,0.026395939086294416
BMI,4,991,825,0.8324924318869829
BMI,5,175,0,0.0
ASAGrade,1,765,765,1.0
ASAGrade,2,794,1,0.0012594458438287153
ASAGrade,3,985,2,0.0020304568527918783
ASAGrade,4,991,787,0.7941473259334006
ASAGrade,5,175,1,0.005714285714285714
OperationTime,1,765,765,1.0
OperationTime,2,794,0,0.0
OperationTime,3,985,1,0.0010152284263959391
OperationTime,4,991,785,0.7921291624621595
OperationTime,5,175,0,0.0
IntraopBloodLoss,1,765,765,1.0
IntraopBloodLoss,2,794,1,0.0012594458438287153
IntraopBloodLoss,3,985,1,0.0010152284263959391
IntraopBloodLoss,4,991,5,0.005045408678102927
IntraopBloodLoss,5,175,0,0.0
IntraopTransfusion,1,765,0,0.0
IntraopTransfusion,2,794,1,0.0012594458438287153
IntraopTransfusion,3,985,2,0.0020304568527918783
IntraopTransfusion,4,991,4,0.004036326942482341
IntraopTransfusion,5,175,0,0.0
IntraopFluid,1,765,765,1.0
IntraopFluid,2,794,0,0.0
IntraopFluid,3,985,1,0.0010152284263959391
IntraopFluid,4,991,787,0.7941473259334006
IntraopFluid,5,175,0,0.0
IntraopVasoactive,1,765,765,1.0
IntraopVasoactive,2,794,0,0.0
IntraopVasoactive,3,985,2,0.0020304568527918783
IntraopVasoactive,4,991,786,0.79313824419778
IntraopVasoactive,5,175,0,0.0
