validation_database,model_specification,bin,n,events,mean_predicted_probability,observed_event_fraction
MIMIC-IV,minimal,1,710,104,0.111289122964214,0.1464788732394366
MIMIC-IV,minimal,2,709,133,0.1337392943914776,0.1875881523272214
MIMIC-IV,minimal,3,709,137,0.1460405330193779,0.1932299012693935
MIMIC-IV,minimal,4,715,166,0.1560462486948661,0.2321678321678321
MIMIC-IV,minimal,5,712,167,0.1648061419114674,0.2345505617977528
MIMIC-IV,minimal,6,703,163,0.1734674338317598,0.2318634423897581
MIMIC-IV,minimal,7,708,157,0.1824206962430609,0.2217514124293785
MIMIC-IV,minimal,8,711,204,0.1920467939459043,0.2869198312236287
MIMIC-IV,minimal,9,709,170,0.204596961519217,0.2397743300423131
MIMIC-IV,minimal,10,708,197,0.2249680583069138,0.2782485875706215
eICU,minimal,1,969,168,0.1047462682227643,0.1733746130030959
eICU,minimal,2,969,204,0.1282776187393741,0.2105263157894736
eICU,minimal,3,969,225,0.1422786725117186,0.2321981424148606
eICU,minimal,4,969,206,0.1532085552772934,0.2125902992776057
eICU,minimal,5,969,224,0.162300638586743,0.2311661506707946
eICU,minimal,6,968,226,0.170941489004739,0.2334710743801653
eICU,minimal,7,969,229,0.1799534384636282,0.2363261093911248
eICU,minimal,8,970,233,0.1889658568536353,0.2402061855670103
eICU,minimal,9,968,252,0.2031247831456723,0.2603305785123967
eICU,minimal,10,969,249,0.2266462554094179,0.2569659442724458
MIMIC-IV,extended_common,1,710,130,0.0277196643562427,0.1830985915492957
MIMIC-IV,extended_common,2,709,119,0.0648273805988106,0.1678420310296191
MIMIC-IV,extended_common,3,709,130,0.0865920319734386,0.1833568406205923
MIMIC-IV,extended_common,4,710,127,0.105133634654795,0.1788732394366197
MIMIC-IV,extended_common,5,709,146,0.1234227878669719,0.2059238363892807
MIMIC-IV,extended_common,6,709,163,0.1442410878852675,0.229901269393512
MIMIC-IV,extended_common,7,710,165,0.1705617304629444,0.2323943661971831
MIMIC-IV,extended_common,8,709,188,0.204677219843946,0.2651622002820874
MIMIC-IV,extended_common,9,709,201,0.260814161116939,0.2834978843441467
MIMIC-IV,extended_common,10,710,229,0.4039982640689805,0.3225352112676056
eICU,extended_common,1,969,176,0.0328729846885835,0.1816305469556243
eICU,extended_common,2,969,178,0.0686213536168529,0.1836945304437564
eICU,extended_common,3,969,197,0.0953593494367337,0.2033023735810113
eICU,extended_common,4,969,198,0.120407997673187,0.2043343653250774
eICU,extended_common,5,969,211,0.1471240014014497,0.217750257997936
eICU,extended_common,6,968,217,0.177406712449507,0.2241735537190082
eICU,extended_common,7,969,246,0.2123081962301992,0.2538699690402476
eICU,extended_common,8,969,251,0.2568516461398186,0.2590299277605779
eICU,extended_common,9,969,272,0.3230307754947345,0.2807017543859649
eICU,extended_common,10,969,270,0.4955317759036116,0.2786377708978328
