validation_database,bin,n,events,mean_predicted_probability,observed_event_fraction
MIMIC-IV,1,424,24,0.0280807236764877,0.0566037735849056
MIMIC-IV,2,424,18,0.0514740432248698,0.0424528301886792
MIMIC-IV,3,424,25,0.0713950845196638,0.0589622641509434
MIMIC-IV,4,424,34,0.0934061375150344,0.080188679245283
MIMIC-IV,5,424,28,0.115396551683673,0.0660377358490566
MIMIC-IV,6,424,25,0.1413549837658364,0.0589622641509434
MIMIC-IV,7,424,27,0.1699936110657655,0.0636792452830188
MIMIC-IV,8,424,40,0.209573857072823,0.0943396226415094
MIMIC-IV,9,424,53,0.2729139288831877,0.125
MIMIC-IV,10,424,57,0.4046919455840204,0.1344339622641509
Five-centre-source,1,402,8,0.0240315475823126,0.0199004975124378
Five-centre-source,2,401,10,0.0411908696261988,0.0249376558603491
Five-centre-source,3,401,6,0.0529287011733005,0.0149625935162094
Five-centre-source,4,402,9,0.06646522541996,0.0223880597014925
Five-centre-source,5,401,9,0.0821901358544834,0.0224438902743142
Five-centre-source,6,401,9,0.098815435165296,0.0224438902743142
Five-centre-source,7,402,13,0.1170530569011945,0.0323383084577114
Five-centre-source,8,401,19,0.1385342454771264,0.0473815461346633
Five-centre-source,9,401,21,0.1754853285256992,0.0523690773067331
Five-centre-source,10,402,51,0.2829450072310809,0.126865671641791
