database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,1.0004482989949517,0.0123823791930835,0.9761642361632252,1.0249802231728995,1.0,0.0004482989949514,0.0123698507976145
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.4845329655722507,0.3929248071802366,-1.4267990004773463,-0.0110088544536295,0.0,-0.4845329655722507,0.6234159653154603
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.623927861690903,0.3007932166499464,-0.1065706586967119,0.9921370699293208,1.0,-0.376072138309097,0.4812538039999159
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.4853677405292849,0.041283287561646,0.4162168378608121,0.5759756762107955,1.0,-0.5146322594707151,0.5162799543726814
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_intercept,300,0.2231424226669651,0.6974225386379728,-1.203897173960097,1.7111874188895997,0.0,0.2231424226669651,0.7311425379973797
INSPIRE,0.35,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,calibration_slope,300,1.7533868085684132,0.5277751464852852,0.7540446676393099,2.89919730263788,1.0,0.7533868085684132,0.9193529245552572
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,oe,300,0.9999564303192062,0.0094785028325338,0.979391297292936,1.0194503007517002,1.0,-4.356968079377577e-05,0.0094627924460461
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_intercept,300,-0.2461689717806314,0.2269303590770876,-0.7593226342429529,-0.0050644715108697,0.0,-0.2461689717806314,0.3345517786215158
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_apparent,reconstructed,calibration_slope,300,0.8538025774061845,0.1336092898507044,0.5487992099012562,0.9959186770886822,1.0,-0.1461974225938155,0.1979030669284911
INSPIRE,0.55,mixed_MNAR,strong,recalibration_intercept_slope_truth,full,oe,300,0.6928501218045406,0.0371213959341194,0.629016008619772,0.7765844636695622,1.0,-0.3071498781954593,0.30937752404594
