database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
INSPIRE,0.35,MCAR,strong,reference_05pct_recalibration,full_heldout,oe,300,1.131529885694583,0.5391991853180149,0.573557799585362,2.415938101494723,1.0,0.131529885694583,0.5541360420272404
INSPIRE,0.35,MCAR,strong,reference_05pct_recalibration,full_heldout,calibration_intercept,300,1.0399186115609425,6.482126348398556,-1.3929732756909163,13.98164229413246,0.0,1.0399186115609425,6.554336949070564
INSPIRE,0.35,MCAR,strong,reference_05pct_recalibration,full_heldout,calibration_slope,300,1.3618066408758618,2.500366910182604,0.3746140042668168,5.678153270835015,1.0,0.3618066408758618,2.5222805716189045
INSPIRE,0.35,MCAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.0643529887081395,0.3138653101844055,0.6329638649015042,1.801266814025083,1.0,0.0643529887081395,0.319881804186639
INSPIRE,0.35,MCAR,strong,reference_10pct_recalibration,full_heldout,calibration_intercept,300,0.4456862454178698,2.499174366965014,-1.061167568208991,3.3460212511282093,0.0,0.4456862454178698,2.534499787096987
INSPIRE,0.35,MCAR,strong,reference_10pct_recalibration,full_heldout,calibration_slope,300,1.1595784914169125,0.9542060555890828,0.5291365367121386,2.4946189291652705,1.0,0.1595784914169122,0.965887913161096
INSPIRE,0.35,MCAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.0359369332640769,0.223254834808541,0.7067183725776521,1.5880409095937116,1.0,0.0359369332640768,0.2257610285979351
INSPIRE,0.35,MCAR,strong,reference_20pct_recalibration,full_heldout,calibration_intercept,300,0.1095869830454114,0.691147358511535,-0.8791098043726799,1.9057997382740692,0.0,0.1095869830454114,0.6986427526234057
INSPIRE,0.35,MCAR,strong,reference_20pct_recalibration,full_heldout,calibration_slope,300,1.0381790364190275,0.2914871114817062,0.5870121449561381,1.7375701388531497,1.0,0.0381790364190275,0.2934947345262504
INSPIRE,0.35,MCAR,strong,reference_30pct_recalibration,full_heldout,oe,300,1.011383726373434,0.1824398147472384,0.7095333193588854,1.4630617352010162,1.0,0.0113837263734339,0.1824908973377444
INSPIRE,0.35,MCAR,strong,reference_30pct_recalibration,full_heldout,calibration_intercept,300,0.0509617272724359,0.5428244588824757,-0.7714160142359943,1.3702008220685071,0.0,0.0509617272724359,0.5443099265710414
INSPIRE,0.35,MCAR,strong,reference_30pct_recalibration,full_heldout,calibration_slope,300,1.0240389381591706,0.2301436094339526,0.6759307071364956,1.599641604439168,1.0,0.0240389381591705,0.2310138478704192
INSPIRE,0.35,MCAR,weak,reference_05pct_recalibration,full_heldout,oe,300,1.172400988707084,0.5419907540244694,0.530803174722174,2.402806995881762,1.0,0.1724009887070841,0.5678881037936666
INSPIRE,0.35,MCAR,weak,reference_05pct_recalibration,full_heldout,calibration_intercept,300,1.760246011269453,14.92221158620307,-1.305516596579575,13.342382202262552,0.0,1.760246011269453,15.000954080152988
INSPIRE,0.35,MCAR,weak,reference_05pct_recalibration,full_heldout,calibration_slope,300,1.776424007571159,6.830241411740356,0.3993449759023752,6.445554085173961,1.0,0.776424007571159,6.862909343447347
INSPIRE,0.35,MCAR,weak,reference_10pct_recalibration,full_heldout,oe,300,1.066561897241791,0.3253220177666638,0.616305075323588,1.864160653165921,1.0,0.0665618972417909,0.3315299685157503
INSPIRE,0.35,MCAR,weak,reference_10pct_recalibration,full_heldout,calibration_intercept,300,0.3215708866618161,1.2207141681952869,-0.9499872718963476,3.763332454972168,0.0,0.3215708866618161,1.2603903252483872
INSPIRE,0.35,MCAR,weak,reference_10pct_recalibration,full_heldout,calibration_slope,300,1.1223062424413786,0.5115657062920906,0.5216039005597679,2.495492360627005,1.0,0.1223062424413785,0.5251532702187122
INSPIRE,0.35,MCAR,weak,reference_20pct_recalibration,full_heldout,oe,300,1.0231249309842545,0.229259856181472,0.6777378061482162,1.526795528905026,1.0,0.0231249309842542,0.2300426999867371
INSPIRE,0.35,MCAR,weak,reference_20pct_recalibration,full_heldout,calibration_intercept,300,0.1120409116629759,0.6490566044547879,-0.7969471168744174,1.7498307547395138,0.0,0.1120409116629759,0.6575890764147686
INSPIRE,0.35,MCAR,weak,reference_20pct_recalibration,full_heldout,calibration_slope,300,1.0481843394038295,0.2616847021111052,0.6502408302774916,1.642332289477076,1.0,0.0481843394038294,0.265654570708589
INSPIRE,0.35,MCAR,weak,reference_30pct_recalibration,full_heldout,oe,300,1.012310621284181,0.1903267938903942,0.721994711347057,1.4728135448877548,1.0,0.012310621284181,0.1904077000563715
INSPIRE,0.35,MCAR,weak,reference_30pct_recalibration,full_heldout,calibration_intercept,300,0.0257455766186066,0.5672988466214673,-0.8542845255259608,1.3363612668724223,0.0,0.0257455766186066,0.5669374358388629
INSPIRE,0.35,MCAR,weak,reference_30pct_recalibration,full_heldout,calibration_slope,300,1.0112597074920122,0.2331125959073264,0.6527327407023485,1.6033938954356195,1.0,0.0112597074920122,0.23299597659378
INSPIRE,0.35,history_MAR,strong,reference_05pct_recalibration,full_heldout,oe,300,1.135354994545286,0.6555010431239338,0.5415191193940101,2.439641133181269,1.0,0.1353549945452861,0.6682591712999265
INSPIRE,0.35,history_MAR,strong,reference_05pct_recalibration,full_heldout,calibration_intercept,300,0.3211407734860167,4.179451389171755,-1.2571555882346928,9.399405750325696,0.0,0.3211407734860167,4.184820099414479
INSPIRE,0.35,history_MAR,strong,reference_05pct_recalibration,full_heldout,calibration_slope,300,1.1226763442212844,1.642169370794502,0.318613595507499,4.917259232353151,1.0,0.1226763442212843,1.644013582770083
INSPIRE,0.35,history_MAR,strong,reference_10pct_recalibration,full_heldout,oe,300,1.046353332829463,0.3324157746904079,0.6308941491512843,1.7631307396846638,1.0,0.0463533328294629,0.3350828920877334
INSPIRE,0.35,history_MAR,strong,reference_10pct_recalibration,full_heldout,calibration_intercept,300,0.3524386204263126,1.8535917792103724,-1.0553370826981825,3.806353852342972,0.0,0.3524386204263126,1.88376293364578
INSPIRE,0.35,history_MAR,strong,reference_10pct_recalibration,full_heldout,calibration_slope,300,1.138875434361851,0.743708707279905,0.5741861480289161,2.436072475983841,1.0,0.138875434361851,0.7553445254201514
INSPIRE,0.35,history_MAR,strong,reference_20pct_recalibration,full_heldout,oe,300,1.021220152547647,0.2022333812540351,0.7037311909722948,1.483687421421053,1.0,0.0212201525476469,0.2030081465506755
INSPIRE,0.35,history_MAR,strong,reference_20pct_recalibration,full_heldout,calibration_intercept,300,0.1045095553621531,0.705395886785849,-0.8623856658997447,1.852646287675905,0.0,0.1045095553621531,0.7119318738938962
INSPIRE,0.35,history_MAR,strong,reference_20pct_recalibration,full_heldout,calibration_slope,300,1.0416342259754805,0.2942113539487335,0.6701973029153345,1.728373706317339,1.0,0.0416342259754805,0.2966566957988362
INSPIRE,0.35,history_MAR,strong,reference_30pct_recalibration,full_heldout,oe,300,1.0135226785149325,0.1757613383998932,0.7243283737272594,1.4143042207917045,1.0,0.0135226785149324,0.1759884581918738
INSPIRE,0.35,history_MAR,strong,reference_30pct_recalibration,full_heldout,calibration_intercept,300,0.0837982506885257,0.5448912902509849,-0.7108387617066416,1.416734869136885,0.0,0.0837982506885257,0.5503989249770287
INSPIRE,0.35,history_MAR,strong,reference_30pct_recalibration,full_heldout,calibration_slope,300,1.0376963869016431,0.2296613649322833,0.66922710485244,1.5602047060330144,1.0,0.0376963869016431,0.2323565055100802
INSPIRE,0.35,history_MAR,weak,reference_05pct_recalibration,full_heldout,oe,300,1.2222799634549868,0.6903877155656589,0.5807002785450192,2.7461659456594765,1.0,0.2222799634549868,0.7241925130549469
INSPIRE,0.35,history_MAR,weak,reference_05pct_recalibration,full_heldout,calibration_intercept,300,0.6763545522024407,4.094891807495444,-1.3314289636141523,8.882751806082958,0.0,0.6763545522024407,4.143633743345885
