target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,EICU,12.0,full_reference,retained_reference,outcome_observed_fraction,100,0.5952463566967383,0.012521421283900588,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,full_reference,retained_reference,reconstructed_sensitivity,100,0.5287463126843658,0.02076092762094468,0.49107669616519173,0.5658923303834807
EICU,EICU,12.0,full_reference,retained_reference,mean_retained_measurements,100,3.2366065232477452,0.05267316688625521,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,full_reference,retained_reference,event_rate,100,0.47050659264399736,1.1158161231197418e-16,0.47050659264399725,0.47050659264399725
EICU,EICU,12.0,full_reference,retained_reference,oe,100,0.9936864098810975,0.0,0.9936864098810975,0.9936864098810975
EICU,EICU,12.0,full_reference,retained_reference,brier,100,0.18553140001521803,2.7895403077993544e-17,0.18553140001521806,0.18553140001521806
EICU,EICU,12.0,full_reference,retained_reference,auc,100,0.7951340965061838,1.1158161231197418e-16,0.7951340965061837,0.7951340965061837
EICU,EICU,12.0,full_reference,retained_reference,calibration_intercept,100,-0.022589334736231145,3.486925384749193e-18,-0.02258933473623114,-0.02258933473623114
EICU,EICU,12.0,full_reference,retained_reference,calibration_slope,100,0.926677582194532,1.1158161231197418e-16,0.9266775821945321,0.9266775821945321
EICU,EICU,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,100,0.5952463566967383,0.012521421283900588,0.5714607911172798,0.61911866759195
EICU,EICU,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,100,0.5287463126843658,0.02076092762094468,0.49107669616519173,0.5658923303834807
EICU,EICU,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,100,3.2366065232477452,0.05267316688625521,3.1416551006245665,3.343858431644691
EICU,EICU,12.0,local_recalibration,reconstructed_observed,event_rate,100,0.4179011004809551,0.012571491250389566,0.3975765191841467,0.4429238579174332
EICU,EICU,12.0,local_recalibration,reconstructed_observed,oe,100,0.9997458410085536,0.0037821825357613388,0.9900487597616561,1.0055778130395998
EICU,EICU,12.0,local_recalibration,reconstructed_observed,brier,100,0.18188698012518142,0.004667997322430123,0.17236200066546536,0.18954318444290216
EICU,EICU,12.0,local_recalibration,reconstructed_observed,auc,100,0.7996378287776469,0.01008498496120419,0.7794743273390943,0.8172557429888843
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_intercept,100,-0.007582032097145155,0.01320491437482749,-0.03922731713961337,0.007270737998687968
EICU,EICU,12.0,local_recalibration,reconstructed_observed,calibration_slope,100,0.9725068740352603,0.030621443818465977,0.8727856556644962,1.0020396620917156
