validation_database,model_specification,bin,n,events,mean_predicted_probability,observed_event_fraction
MIMIC-IV,minimal,1,710,104,0.111289122964214,0.14647887323943662
MIMIC-IV,minimal,2,709,133,0.13373929439147766,0.18758815232722145
MIMIC-IV,minimal,3,709,137,0.14604053301937792,0.19322990126939352
MIMIC-IV,minimal,4,715,166,0.15604624869486616,0.23216783216783216
MIMIC-IV,minimal,5,712,167,0.16480614191146745,0.2345505617977528
MIMIC-IV,minimal,6,703,163,0.17346743383175983,0.23186344238975817
MIMIC-IV,minimal,7,708,157,0.18242069624306098,0.22175141242937854
MIMIC-IV,minimal,8,711,204,0.19204679394590432,0.2869198312236287
MIMIC-IV,minimal,9,709,170,0.20459696151921705,0.2397743300423131
MIMIC-IV,minimal,10,708,197,0.22496805830691383,0.2782485875706215
eICU,minimal,1,969,168,0.10474626822276435,0.17337461300309598
eICU,minimal,2,969,204,0.12827761873937418,0.21052631578947367
eICU,minimal,3,969,225,0.14227867251171866,0.23219814241486067
eICU,minimal,4,969,206,0.15320855527729343,0.21259029927760578
eICU,minimal,5,969,224,0.16230063858674304,0.23116615067079463
eICU,minimal,6,968,226,0.17094148900473902,0.2334710743801653
eICU,minimal,7,969,229,0.17995343846362827,0.23632610939112486
eICU,minimal,8,970,233,0.18896585685363534,0.24020618556701032
eICU,minimal,9,968,252,0.20312478314567234,0.2603305785123967
eICU,minimal,10,969,249,0.2266462554094179,0.25696594427244585
MIMIC-IV,extended_common,1,710,130,0.027719664356242756,0.18309859154929578
MIMIC-IV,extended_common,2,709,119,0.0648273805988106,0.16784203102961917
MIMIC-IV,extended_common,3,709,130,0.08659203197343869,0.18335684062059238
MIMIC-IV,extended_common,4,710,127,0.10513363465479503,0.17887323943661973
MIMIC-IV,extended_common,5,709,146,0.12342278786697194,0.2059238363892807
MIMIC-IV,extended_common,6,709,163,0.14424108788526752,0.229901269393512
MIMIC-IV,extended_common,7,710,165,0.17056173046294448,0.2323943661971831
MIMIC-IV,extended_common,8,709,188,0.204677219843946,0.2651622002820874
MIMIC-IV,extended_common,9,709,201,0.26081416111693906,0.2834978843441467
MIMIC-IV,extended_common,10,710,229,0.4039982640689805,0.32253521126760565
eICU,extended_common,1,969,176,0.03287298468858351,0.18163054695562436
eICU,extended_common,2,969,178,0.06862135361685298,0.18369453044375644
eICU,extended_common,3,969,197,0.09535934943673371,0.20330237358101136
eICU,extended_common,4,969,198,0.12040799767318705,0.2043343653250774
eICU,extended_common,5,969,211,0.1471240014014497,0.21775025799793601
eICU,extended_common,6,968,217,0.17740671244950706,0.22417355371900827
eICU,extended_common,7,969,246,0.21230819623019925,0.25386996904024767
eICU,extended_common,8,969,251,0.2568516461398186,0.2590299277605779
eICU,extended_common,9,969,272,0.3230307754947345,0.2807017543859649
eICU,extended_common,10,969,270,0.4955317759036116,0.2786377708978328
