validation_database,model_specification,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,selected_fraction
MIMIC-IV,minimal,0.02,0.2094497793478824,0.2094497793478824,0.0,1.0
MIMIC-IV,minimal,0.03,0.20129977707311827,0.20129977707311827,0.0,1.0
MIMIC-IV,minimal,0.04,0.1929799830842966,0.1929799830842966,0.0,1.0
MIMIC-IV,minimal,0.05,0.1844850355378155,0.1844850355378155,0.0,1.0
MIMIC-IV,minimal,0.06,0.1758093444265157,0.1758093444265157,0.0,1.0
MIMIC-IV,minimal,0.07,0.16694707931282227,0.16694707931282227,0.0,1.0
MIMIC-IV,minimal,0.08,0.15787376962773195,0.1578921562618747,0.0,0.9984493938539611
MIMIC-IV,minimal,0.09,0.14810999544577214,0.1486382239131041,0.0,0.9928108260501832
MIMIC-IV,minimal,0.1,0.13794129624408735,0.1391786486232497,0.0,0.9815336904426276
MIMIC-IV,minimal,0.11,0.12822990151512753,0.1295064986077806,0.0,0.9641950944460107
MIMIC-IV,minimal,0.12,0.11748084168439399,0.11961452700105084,0.0,0.9275444037214547
MIMIC-IV,minimal,0.13,0.10727699302308247,0.10949515374818934,0.0,0.8749647589512264
MIMIC-IV,minimal,0.14,0.0943771677342792,0.09914044623363341,0.0,0.8067380885255145
MIMIC-IV,minimal,0.15,0.07895653327584204,0.08854209854226439,0.0,0.7113053284465746
MIMIC-IV,minimal,0.16,0.06467571522547558,0.0776914092391961,0.0,0.6075556808570624
MIMIC-IV,minimal,0.17,0.047975380518408564,0.06657925754328278,0.0,0.4871722582464054
MIMIC-IV,minimal,0.18,0.036984191381242836,0.05519607775722529,0.0,0.37736115026783196
MIMIC-IV,minimal,0.19,0.027200868757113472,0.04353183180361078,0.0,0.2720608965322808
MIMIC-IV,minimal,0.2,0.014484071045954325,0.031575979701155915,0.0,0.18311248942768538
MIMIC-IV,minimal,0.21,0.009373226795330696,0.01931744779863892,0.0,0.11375810544121794
MIMIC-IV,minimal,0.22,0.0038060332675500415,0.0067445945652881145,0.0,0.060191711305328445
MIMIC-IV,minimal,0.23,0.0006187778953496469,-0.006154826284513332,0.0,0.027347053848322526
MIMIC-IV,minimal,0.24,0.0006603059664950363,-0.019393705577730597,0.0,0.011418099802650126
MIMIC-IV,minimal,0.25,0.00032891645522037404,-0.03298562165210034,0.0,0.001268677755850014
MIMIC-IV,minimal,0.26,9.143623465585686e-05,-0.046944886809561215,0.0,0.000281928390188892
MIMIC-IV,minimal,0.27,0.0,-0.06128659758777438,0.0,0.0
MIMIC-IV,minimal,0.28,0.0,-0.07602668922093792,0.0,0.0
MIMIC-IV,minimal,0.29,0.0,-0.09118199470292293,0.0,0.0
MIMIC-IV,minimal,0.3,0.0,-0.10677030891296468,0.0,0.0
eICU,minimal,0.02,0.21297242191334165,0.21297242191334165,0.0,1.0
eICU,minimal,0.03,0.20485873554131426,0.20485873554131426,0.0,1.0
