cohort,predictor,source_item_name,unit,valid_range,n,n_observed,missing_fraction
candidate,baseline_creatinine,creatinine,mg/dL,0.1-30,11530,11102,0.03712055507372073
candidate,baseline_albumin,albumin,g/dL,1-6,11530,10980,0.047701647875108416
candidate,baseline_bun,bun,mg/dL,2-200,11530,11080,0.03902862098872507
candidate,baseline_glucose,glucose,mg/dL,20-1000,11530,11329,0.01743278404163053
candidate,baseline_sodium,sodium,mmol/L,100-180,11530,11511,0.001647875108412836
candidate,baseline_potassium,potassium,mmol/L,2-8,11530,11511,0.001647875108412836
candidate,baseline_hemoglobin,hb,g/dL,3-25,11530,11176,0.03070251517779705
candidate,baseline_wbc,wbc,K/uL,0.1-100,11530,11118,0.03573287077189939
candidate,baseline_platelet,platelet,K/uL,5-2000,11530,11114,0.03607979184735473
dense_reference,baseline_creatinine,creatinine,mg/dL,0.1-30,7654,7654,0.0
dense_reference,baseline_albumin,albumin,g/dL,1-6,7654,7550,0.01358766657956624
dense_reference,baseline_bun,bun,mg/dL,2-200,7654,7637,0.002221060883198328
dense_reference,baseline_glucose,glucose,mg/dL,20-1000,7654,7575,0.010321400574862817
dense_reference,baseline_sodium,sodium,mmol/L,100-180,7654,7652,0.0002613012803762738
dense_reference,baseline_potassium,potassium,mmol/L,2-8,7654,7652,0.0002613012803762738
dense_reference,baseline_hemoglobin,hb,g/dL,3-25,7654,7598,0.0073164358505356675
dense_reference,baseline_wbc,wbc,K/uL,0.1-100,7654,7585,0.009014894172981448
dense_reference,baseline_platelet,platelet,K/uL,5-2000,7654,7580,0.009668147373922133
