database,sampling_layer,metric,n_replicates,mean,sd,mcse_of_mean,q025,q975
EICU,deletion_given_fixed_cohort,n_evaluable,300,1173.63,22.89308654094588,1.32173296769965,1128.475,1217.525
EICU,deletion_given_fixed_cohort,n_evaluable_reference_events,300,453.98,11.059262677497975,0.6385068283892237,435.0,476.04999999999995
EICU,deletion_given_fixed_cohort,n_evaluable_reconstructed_events,300,386.56,12.001382306114786,0.6929001305082982,363.0,411.0
EICU,deletion_given_fixed_cohort,retained_fit_selected_retained_oe,300,1.0000157031026478,0.0028289421270074554,0.00016332904985496267,0.9940314355639036,1.0064927862224777
EICU,deletion_given_fixed_cohort,retained_fit_selected_retained_slope,300,0.7010677265663176,0.23731004736028402,0.013701101972486281,0.16212156774818404,0.9808762360154669
EICU,deletion_given_fixed_cohort,retained_fit_full_retained_oe,300,0.6139487386890771,0.017834039938955087,0.0010296487759494256,0.5822662594389545,0.649028740889836
EICU,deletion_given_fixed_cohort,retained_fit_full_retained_slope,300,1.5630559899782028,0.41104615825579405,0.02373176101183442,0.7830750310220675,2.301860440355217
EICU,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_oe,300,0.9999432282382512,0.003214807436586959,0.00018560699389062914,0.9930104798509638,1.0066543233053487
EICU,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_slope,300,0.7705884732612809,0.18602723213039063,0.010740287254708202,0.31380695932146097,0.9946982085647492
EICU,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_oe,300,1.1747682387689558,0.022333942898474214,0.0012894507944499816,1.1327186834146792,1.2184626627332893
EICU,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_slope,300,0.6294174341078719,0.18026697199119474,0.0104077184805115,0.23239139756985008,0.9083190152205847
EICU,deletion_given_fixed_cohort,reconstructed_fit_full_retained_oe,300,0.7342470473551758,0.025839057466138755,0.0014918186783681418,0.6819008658603991,0.7872761369484611
EICU,deletion_given_fixed_cohort,reconstructed_fit_full_retained_slope,300,1.3347216372260657,0.3112238945638485,0.017968519930468163,0.8090018388523842,2.0204515240351086
INSPIRE,deletion_given_fixed_cohort,n_evaluable,300,415.96666666666664,13.56560507407027,0.7832105741234623,387.475,440.0
INSPIRE,deletion_given_fixed_cohort,n_evaluable_reference_events,300,97.85666666666667,4.428864227999741,0.2557005954239954,88.0,106.0
INSPIRE,deletion_given_fixed_cohort,n_evaluable_reconstructed_events,300,87.77666666666667,4.832317580577054,0.2789939855955923,77.475,97.52499999999998
INSPIRE,deletion_given_fixed_cohort,retained_fit_selected_retained_oe,300,1.000083354074236,0.011550364389734814,0.0006668605989651662,0.9789842244813175,1.0262061936908715
INSPIRE,deletion_given_fixed_cohort,retained_fit_selected_retained_slope,300,0.5540596767442577,0.35896088238980794,0.02072461620763012,-0.32099980260680766,0.9860325095629491
INSPIRE,deletion_given_fixed_cohort,retained_fit_full_retained_oe,300,0.42189931757458365,0.03160422172371817,0.0018246705919717303,0.3689087193511746,0.48572271273171164
INSPIRE,deletion_given_fixed_cohort,retained_fit_full_retained_slope,300,1.977083130810328,0.6937877094907373,0.040055852083493104,0.704186292149418,3.6471226777032375
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_oe,300,1.0001964819785207,0.012723405874664214,0.000734586180674625,0.9750214827182007,1.0272117862305674
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_selected_reconstructed_slope,300,0.6152765798893292,0.31532734824431385,0.018205432939170544,-0.04961251122791198,0.9935141758229123
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_oe,300,1.1161827276867495,0.03863451240604142,0.0022305646137637945,1.0465759514212498,1.1944618223866508
INSPIRE,deletion_given_fixed_cohort,reconstructed_fit_selected_retained_slope,300,0.5153925372931583,0.2893800309227552,0.016707363875135495,-0.1484793230818168,0.8931600185763899
