validation_database,bin,n,events,mean_predicted_probability,observed_event_fraction
MIMIC-IV,1,424,24,0.028080723676487736,0.05660377358490566
MIMIC-IV,2,424,18,0.05147404322486982,0.04245283018867924
MIMIC-IV,3,424,25,0.07139508451966388,0.0589622641509434
MIMIC-IV,4,424,34,0.09340613751503449,0.08018867924528301
MIMIC-IV,5,424,28,0.11539655168367303,0.0660377358490566
MIMIC-IV,6,424,25,0.1413549837658364,0.0589622641509434
MIMIC-IV,7,424,27,0.16999361106576558,0.06367924528301887
MIMIC-IV,8,424,40,0.20957385707282306,0.09433962264150944
MIMIC-IV,9,424,53,0.2729139288831877,0.125
MIMIC-IV,10,424,57,0.40469194558402044,0.13443396226415094
Five-centre-source,1,371,8,0.02365239504456664,0.0215633423180593
Five-centre-source,2,371,10,0.04180275646474633,0.026954177897574125
Five-centre-source,3,371,6,0.054540638786222485,0.016172506738544475
Five-centre-source,4,371,8,0.06866853380810276,0.0215633423180593
Five-centre-source,5,371,9,0.08465410410710397,0.02425876010781671
Five-centre-source,6,371,11,0.10157455912186096,0.029649595687331536
Five-centre-source,7,371,13,0.11973270209064849,0.03504043126684636
Five-centre-source,8,371,18,0.1408220614649194,0.04851752021563342
Five-centre-source,9,371,19,0.1778699398743319,0.05121293800539083
Five-centre-source,10,371,50,0.2805192258492168,0.1347708894878706
