validation_database,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,selected_fraction
MIMIC-IV,0.02,0.058471313053523294,0.05925105891413168,0.0,0.9792452830188679
MIMIC-IV,0.03,0.04840011670881151,0.0495526162225248,0.0,0.9429245283018868
MIMIC-IV,0.04,0.03797169811320754,0.03965212264150943,0.0,0.9047169811320754
MIMIC-IV,0.05,0.028872889771598798,0.02954319761668321,0.0,0.8570754716981132
MIMIC-IV,0.06,0.021467282215977518,0.019219189080690487,0.0,0.8075471698113208
MIMIC-IV,0.07,0.013770541692026766,0.00867315885575165,0.0,0.7570754716981132
MIMIC-IV,0.08,0.006644790812141102,-0.002102132895816247,0.0,0.7077830188679245
MIMIC-IV,0.09,-8.811942774206855e-05,-0.013114244246319712,0.0,0.6665094339622641
MIMIC-IV,0.1,-0.006525157232704401,-0.024371069182389946,0.0,0.6200471698113208
MIMIC-IV,0.11,-0.012036251854992575,-0.03588085647657409,0.0,0.5712264150943396
MIMIC-IV,0.12,-0.015984133790737556,-0.04765222984562606,0.0,0.5299528301886792
MIMIC-IV,0.13,-0.019908913467794408,-0.05969420949902407,0.0,0.49245283018867925
MIMIC-IV,0.14,-0.020902808249232123,-0.07201623519087319,0.0,0.4535377358490566
MIMIC-IV,0.15,-0.02235016648168702,-0.08462819089900112,0.0,0.41910377358490564
MIMIC-IV,0.16,-0.023865678346810436,-0.09754043126684639,0.0,0.38325471698113206
MIMIC-IV,0.17,-0.024789724937485803,-0.11076380995680837,0.0,0.3471698113207547
MIMIC-IV,0.18,-0.025678785089737685,-0.12430971007823283,0.0,0.31745283018867926
MIMIC-IV,0.19,-0.02633938970416958,-0.13819007686932214,0.0,0.2910377358490566
MIMIC-IV,0.2,-0.02653301886792453,-0.15241745283018868,0.0,0.267688679245283
Five-centre-source,0.02,0.02149183123384124,0.021398316739094557,0.0,0.9684636118598383
Five-centre-source,0.03,0.012018228804846199,0.011309639592074913,0.0,0.9231805929919138
Five-centre-source,0.04,0.003537735849056603,0.0010107816711590265,0.0,0.8652291105121294
Five-centre-source,0.05,-0.0035324159455241907,-0.009504894311249831,0.0,0.7840970350404313
Five-centre-source,0.06,-0.008395939668520959,-0.020244308080518435,0.0,0.7110512129380054
Five-centre-source,0.07,-0.012016346404660476,-0.031214676984610057,0.0,0.6409703504043127
Five-centre-source,0.08,-0.01529356615492792,-0.042423532169225356,0.0,0.5768194070080862
Five-centre-source,0.09,-0.018491750836764312,-0.05387873581943663,0.0,0.5194070080862534
Five-centre-source,0.1,-0.01889787361485475,-0.06558849955076371,0.0,0.45849056603773586
Five-centre-source,0.11,-0.01901935249401859,-0.07756140404009812,0.0,0.39892183288409705
Five-centre-source,0.12,-0.01870864984072531,-0.08980641999509924,0.0,0.3460916442048518
Five-centre-source,0.13,-0.01730953930043065,-0.10233293056975558,0.0,0.2962264150943396
Five-centre-source,0.14,-0.015921770199962392,-0.1151507553438225,0.0,0.24797843665768193
Five-centre-source,0.15,-0.014460123672110359,-0.1282701759949263,0.0,0.21671159029649595
Five-centre-source,0.16,-0.013862148633038127,-0.1417019638043897,0.0,0.18733153638814015
Five-centre-source,0.17,-0.012782125807813464,-0.15545740915143053,0.0,0.16388140161725068
Five-centre-source,0.18,-0.012227992899875088,-0.16954835316547234,0.0,0.14555256064690028
Five-centre-source,0.19,-0.010908122857808391,-0.18398722172307075,0.0,0.12452830188679245
Five-centre-source,0.2,-0.010107816711590297,-0.19878706199460916,0.0,0.1078167115902965
