assumed_event_fraction,assignment,n_assigned,auc_mean,auc_q025,auc_q975,oe_mean,oe_q025,oe_q975,n_replicates
0.0,highest_predicted_risk,0,0.7154300168634065,0.7154300168634065,0.7154300168634065,0.9814408144929792,0.9814408144929792,0.9814408144929792,1
0.0,random,0,0.7154300168634065,0.7154300168634065,0.7154300168634065,0.9814408144929792,0.9814408144929792,0.9814408144929792,1000
0.02,highest_predicted_risk,3,0.7210308062247628,0.7210308062247628,0.7210308062247628,1.0008113568842878,1.0008113568842878,1.0008113568842878,1
0.02,random,3,0.7106137280522662,0.7042787305476158,0.7168002812939521,1.0008113568842878,1.0008113568842878,1.0008113568842878,1000
0.05,highest_predicted_risk,8,0.7287271126760563,0.7287271126760563,0.7287271126760563,1.033095594203136,1.033095594203136,1.033095594203136,1
0.05,random,8,0.7032383362676057,0.6941224911971832,0.7132678257042253,1.033095594203136,1.033095594203136,1.033095594203136,1000
0.1,highest_predicted_risk,16,0.7375793202656558,0.7375793202656558,0.7375793202656558,1.0847503739132927,1.0847503739132927,1.0847503739132927,1
0.1,random,16,0.6916940960178538,0.6793658075878574,0.7051535485735797,1.0847503739132927,1.0847503739132927,1.0847503739132927,1000
0.2,highest_predicted_risk,32,0.7451239549680634,0.7451239549680634,0.7451239549680634,1.1880599333336064,1.1880599333336064,1.1880599333336064,1
0.2,random,32,0.6724096895114553,0.6576111425374238,0.6876199551776863,1.1880599333336064,1.1880599333336064,1.1880599333336064,1000
