assumed_postdischarge_event_fraction,assignment_mechanism,metric,n_replicates,mean,q025,q975
0.0,highest_predicted_risk,auc,1,0.7154300168634065,0.7154300168634065,0.7154300168634065
0.0,highest_predicted_risk,oe,1,0.9814408144929792,0.9814408144929792,0.9814408144929792
0.0,random,auc,1000,0.7154300168634065,0.7154300168634065,0.7154300168634065
0.0,random,oe,1000,0.9814408144929792,0.9814408144929792,0.9814408144929792
0.02,highest_predicted_risk,auc,1,0.7210308062247628,0.7210308062247628,0.7210308062247628
0.02,highest_predicted_risk,oe,1,1.0008113568842878,1.0008113568842878,1.0008113568842878
0.02,random,auc,1000,0.7106137280522662,0.7042787305476158,0.7168002812939521
0.02,random,oe,1000,1.0008113568842878,1.0008113568842878,1.0008113568842878
0.05,highest_predicted_risk,auc,1,0.7287271126760563,0.7287271126760563,0.7287271126760563
0.05,highest_predicted_risk,oe,1,1.033095594203136,1.033095594203136,1.033095594203136
0.05,random,auc,1000,0.7032383362676057,0.6941224911971832,0.7132678257042253
0.05,random,oe,1000,1.033095594203136,1.033095594203136,1.033095594203136
0.1,highest_predicted_risk,auc,1,0.7375793202656558,0.7375793202656558,0.7375793202656558
0.1,highest_predicted_risk,oe,1,1.0847503739132929,1.0847503739132929,1.0847503739132929
0.1,random,auc,1000,0.6916940960178538,0.6793658075878574,0.7051535485735797
0.1,random,oe,1000,1.0847503739132929,1.0847503739132929,1.0847503739132929
0.2,highest_predicted_risk,auc,1,0.7451239549680634,0.7451239549680634,0.7451239549680634
0.2,highest_predicted_risk,oe,1,1.1880599333336064,1.1880599333336064,1.1880599333336064
0.2,random,auc,1000,0.6724096895114553,0.6576111425374238,0.6876199551776863
0.2,random,oe,1000,1.1880599333336064,1.1880599333336064,1.1880599333336064
