Center,SurgeryYear,n,events,event_rate,event_rate_ci_lower,event_rate_ci_upper
1,2017,4,0,0.0,0.0,0.4898908364545973
1,2018,155,11,0.07096774193548387,0.04008636478458055,0.12260075111420304
1,2019,151,4,0.026490066225165563,0.010348630256959545,0.06612610016008266
1,2020,136,10,0.07352941176470588,0.04042734124573684,0.1300618614682011
1,2021,176,9,0.05113636363636364,0.027133181805272043,0.09431522594185673
1,2022,143,5,0.03496503496503497,0.015025721955368145,0.07923552368913148
2,2019,6,0,0.0,2.7755575615628914e-17,0.3903342879021653
2,2020,169,9,0.05325443786982249,0.028267147079055317,0.09809986561407683
2,2021,351,18,0.05128205128205128,0.03268135036615169,0.07959825459631838
2,2022,268,15,0.055970149253731345,0.034208592298840615,0.09028109727060751
3,2017,2,0,0.0,0.0,0.6576197724933469
3,2018,130,6,0.046153846153846156,0.021321953068066113,0.09703792555457165
3,2019,227,22,0.09691629955947137,0.0648750864195643,0.14237303558201658
3,2020,188,12,0.06382978723404255,0.03688691114919235,0.10824052372251766
3,2021,184,10,0.05434782608695652,0.029785256960549615,0.09713804831175568
3,2022,254,6,0.023622047244094488,0.010870134188739784,0.05056862315132962
4,2021,18,0,0.0,0.0,0.17587922364665765
4,2022,512,11,0.021484375,0.012038074956831065,0.03805766352795906
4,2023,308,3,0.00974025974025974,0.003317989725046015,0.028241184151038462
4,2024,153,0,0.0,1.734723475976807e-18,0.024492623631394532
5,2018,22,0,0.0,0.0,0.14865487460862087
5,2019,10,0,0.0,0.0,0.2775327998628892
5,2020,55,0,0.0,0.0,0.06528490111708637
5,2021,69,1,0.014492753623188406,0.002562924644588474,0.07763122461144727
5,2022,11,0,0.0,0.0,0.2588329669680317
5,2023,8,0,0.0,0.0,0.32440756488388023
