split_definition,center,temporal_split,n,events,start_date,end_date
within_centre_70_30,1,development,535,29,2017-12-04,2021-07-13
within_centre_70_30,1,validation,230,10,2021-07-14,2022-12-14
within_centre_70_30,2,development,557,28,2019-01-10,2022-01-27
within_centre_70_30,2,validation,237,14,2022-01-29,2022-12-23
within_centre_70_30,3,development,689,47,2017-12-22,2021-11-18
within_centre_70_30,3,validation,296,9,2021-11-19,2022-12-29
within_centre_70_30,4,development,696,13,2021-12-13,2023-06-25
within_centre_70_30,4,validation,295,1,2023-06-26,2024-06-25
within_centre_70_30,5,development,122,0,2018-04-17,2021-05-31
within_centre_70_30,5,validation,53,1,2021-06-01,2023-03-17
calendar_2022,1,development,622,34,2017-12-04,2021-12-30
calendar_2022,1,validation,143,5,2022-01-10,2022-12-14
calendar_2022,2,development,526,27,2019-01-10,2021-12-31
calendar_2022,2,validation,268,15,2022-01-04,2022-12-23
calendar_2022,3,development,731,50,2017-12-22,2021-12-31
calendar_2022,3,validation,254,6,2022-01-06,2022-12-29
calendar_2022,4,development,18,0,2021-12-13,2021-12-31
calendar_2022,4,validation,973,14,2022-01-01,2024-06-25
calendar_2022,5,development,156,1,2018-04-17,2021-12-23
calendar_2022,5,validation,19,0,2022-01-12,2023-03-17
within_centre_70_30_valid_chronology,1,development,528,24,2017-12-04,2021-07-19
within_centre_70_30_valid_chronology,1,validation,227,10,2021-07-20,2022-12-14
within_centre_70_30_valid_chronology,2,development,546,27,2019-01-10,2022-02-08
within_centre_70_30_valid_chronology,2,validation,234,14,2022-02-09,2022-12-23
within_centre_70_30_valid_chronology,3,development,689,47,2017-12-22,2021-11-18
within_centre_70_30_valid_chronology,3,validation,296,9,2021-11-19,2022-12-29
within_centre_70_30_valid_chronology,4,development,696,13,2021-12-13,2023-06-25
within_centre_70_30_valid_chronology,4,validation,295,1,2023-06-26,2024-06-25
within_centre_70_30_valid_chronology,5,development,122,0,2018-04-17,2021-05-31
within_centre_70_30_valid_chronology,5,validation,53,1,2021-06-01,2023-03-17
