target_database,donor_schedule_database,tolerance_hours,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975
EICU,VitalDB,12.0,full_reference,retained_reference,outcome_observed_fraction,200,0.4279987703658162,0.008982172359890418,0.41129726406394096,0.444543498309253
EICU,VitalDB,12.0,full_reference,retained_reference,reconstructed_sensitivity,200,0.3663679890560876,0.018034629578314827,0.3282489740082079,0.3981190150478796
EICU,VitalDB,12.0,full_reference,retained_reference,mean_retained_measurements,200,2.7260974485090683,0.02758414660708707,2.6738318475253613,2.782354749462035
EICU,VitalDB,12.0,full_reference,retained_reference,event_rate,200,0.22471564709498928,5.565045170431277e-17,0.22471564709498923,0.22471564709498923
EICU,VitalDB,12.0,full_reference,retained_reference,oe,200,0.8265876547126385,1.1130090340862554e-16,0.8265876547126386,0.8265876547126386
EICU,VitalDB,12.0,full_reference,retained_reference,brier,200,0.17317082820044874,0.0,0.17317082820044874,0.17317082820044874
EICU,VitalDB,12.0,full_reference,retained_reference,auc,200,0.6075628857300625,0.0,0.6075628857300625,0.6075628857300625
EICU,VitalDB,12.0,full_reference,retained_reference,calibration_intercept,200,-0.5713041050456755,1.1130090340862554e-16,-0.5713041050456754,-0.5713041050456754
EICU,VitalDB,12.0,full_reference,retained_reference,calibration_slope,200,0.669538562489046,0.0,0.669538562489046,0.669538562489046
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,200,0.4279987703658162,0.008982172359890418,0.41129726406394096,0.444543498309253
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,200,0.3663679890560876,0.018034629578314827,0.3282489740082079,0.3981190150478796
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,mean_retained_measurements,200,2.7260974485090683,0.02758414660708707,2.6738318475253613,2.782354749462035
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,event_rate,200,0.19234283311546818,0.008275968564588534,0.17700298422623278,0.2104099983197866
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,oe,200,1.0008088415248004,0.003848349093738899,0.9940730217753325,1.0089122209016639
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,brier,200,0.15180917684352363,0.005002462361985199,0.14291177620261464,0.16170073276820915
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,auc,200,0.6074423942579034,0.019071187744659213,0.5676298266879847,0.6420268413432114
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,calibration_intercept,200,-0.15880996211113146,0.1547804991922719,-0.5616078293802335,-4.549097811217104e-05
EICU,VitalDB,12.0,local_recalibration,reconstructed_observed,calibration_slope,200,0.8862544691628824,0.10926142391663668,0.6139483840957551,0.9989163513652052
EICU,VitalDB,12.0,local_recalibration,retained_reference,outcome_observed_fraction,200,0.4279987703658162,0.008982172359890418,0.41129726406394096,0.444543498309253
EICU,VitalDB,12.0,local_recalibration,retained_reference,reconstructed_sensitivity,200,0.3663679890560876,0.018034629578314827,0.3282489740082079,0.3981190150478796
EICU,VitalDB,12.0,local_recalibration,retained_reference,mean_retained_measurements,200,2.7260974485090683,0.02758414660708707,2.6738318475253613,2.782354749462035
EICU,VitalDB,12.0,local_recalibration,retained_reference,event_rate,200,0.22471564709498928,5.565045170431277e-17,0.22471564709498923,0.22471564709498923
EICU,VitalDB,12.0,local_recalibration,retained_reference,oe,200,1.1721193141824902,0.05077847797155887,1.0756810085234185,1.2733717602360162
EICU,VitalDB,12.0,local_recalibration,retained_reference,brier,200,0.1712031137247623,0.0007626145249318437,0.17009041330113928,0.1731385519719811
EICU,VitalDB,12.0,local_recalibration,retained_reference,auc,200,0.6035492589968876,0.005110046646569974,0.5892240621789538,0.608295386372833
EICU,VitalDB,12.0,local_recalibration,retained_reference,calibration_intercept,200,0.045677012950060956,0.20104460512858494,-0.25014118993438406,0.46617617763208336
EICU,VitalDB,12.0,local_recalibration,retained_reference,calibration_slope,200,0.8863664169353492,0.137578518331307,0.6865020552991529,1.2450057110869919
EICU,VitalDB,12.0,naive,reconstructed_observed,outcome_observed_fraction,200,0.4279987703658162,0.008982172359890418,0.41129726406394096,0.444543498309253
EICU,VitalDB,12.0,naive,reconstructed_observed,reconstructed_sensitivity,200,0.3663679890560876,0.018034629578314827,0.3282489740082079,0.3981190150478796
EICU,VitalDB,12.0,naive,reconstructed_observed,mean_retained_measurements,200,2.7260974485090683,0.02758414660708707,2.6738318475253613,2.782354749462035
EICU,VitalDB,12.0,naive,reconstructed_observed,event_rate,200,0.19234283311546818,0.008275968564588534,0.17700298422623278,0.2104099983197866
EICU,VitalDB,12.0,naive,reconstructed_observed,oe,200,0.706763590900658,0.030128286015732697,0.6522666907255684,0.7706500974692354
EICU,VitalDB,12.0,naive,reconstructed_observed,brier,200,0.15943994789569257,0.003824884883371587,0.15193432178454805,0.16681019033933606
EICU,VitalDB,12.0,naive,reconstructed_observed,auc,200,0.6145170742886396,0.015766179112615446,0.5852550266843677,0.6448033922184857
EICU,VitalDB,12.0,naive,reconstructed_observed,calibration_intercept,200,-0.7390854825861561,0.11168613302928619,-0.9464853557133924,-0.5400049570962817
EICU,VitalDB,12.0,naive,reconstructed_observed,calibration_slope,200,0.7090236670903761,0.103449814189504,0.4999276883521066,0.9162225298710955
EICU,VitalDB,24.0,full_reference,retained_reference,outcome_observed_fraction,200,0.46649093144789416,0.00875545710894103,0.45095296649246847,0.4835613280049186
EICU,VitalDB,24.0,full_reference,retained_reference,reconstructed_sensitivity,200,0.3916484268125855,0.016178592512894333,0.3597469220246238,0.42270861833105333
EICU,VitalDB,24.0,full_reference,retained_reference,mean_retained_measurements,200,2.9073286197356287,0.02898297514048518,2.853658161696895,2.9769674146941285
EICU,VitalDB,24.0,full_reference,retained_reference,event_rate,200,0.22471564709498928,5.565045170431277e-17,0.22471564709498923,0.22471564709498923
EICU,VitalDB,24.0,full_reference,retained_reference,oe,200,0.8265876547126385,1.1130090340862554e-16,0.8265876547126386,0.8265876547126386
EICU,VitalDB,24.0,full_reference,retained_reference,brier,200,0.17317082820044874,0.0,0.17317082820044874,0.17317082820044874
EICU,VitalDB,24.0,full_reference,retained_reference,auc,200,0.6075628857300625,0.0,0.6075628857300625,0.6075628857300625
EICU,VitalDB,24.0,full_reference,retained_reference,calibration_intercept,200,-0.5713041050456755,1.1130090340862554e-16,-0.5713041050456754,-0.5713041050456754
EICU,VitalDB,24.0,full_reference,retained_reference,calibration_slope,200,0.669538562489046,0.0,0.669538562489046,0.669538562489046
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,outcome_observed_fraction,200,0.46649093144789416,0.00875545710894103,0.45095296649246847,0.4835613280049186
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,reconstructed_sensitivity,200,0.3916484268125855,0.016178592512894333,0.3597469220246238,0.42270861833105333
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,mean_retained_measurements,200,2.9073286197356287,0.02898297514048518,2.853658161696895,2.9769674146941285
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,event_rate,200,0.1886688226628646,0.0070966873710602675,0.1738915053701683,0.2010926704334892
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,oe,200,0.9999578432006351,0.004113816731749437,0.9921847207132364,1.009555752190698
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,brier,200,0.14969865905309057,0.0043369855359982916,0.14138215551003838,0.15852088836643952
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,auc,200,0.6071349304050535,0.01749553953521396,0.5758001235155419,0.6396303955093364
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,calibration_intercept,200,-0.16093558709150943,0.14831904626959325,-0.4500791232679816,0.0015198396207713838
EICU,VitalDB,24.0,local_recalibration,reconstructed_observed,calibration_slope,200,0.8867906030417442,0.10317863602382357,0.6804185604809178,1.0007417983505495
EICU,VitalDB,24.0,local_recalibration,retained_reference,outcome_observed_fraction,200,0.46649093144789416,0.00875545710894103,0.45095296649246847,0.4835613280049186
