variable,level,n,dense_fraction,event_rate_full_observable
sex,F,1251,0.31095123900879296,0.03996802557953637
sex,M,1639,0.4203782794386821,0.0726052471018914
age_quartile,"(17.999, 52.0]",740,0.42027027027027025,0.07432432432432433
age_quartile,"(52.0, 61.0]",742,0.3436657681940701,0.05929919137466307
age_quartile,"(61.0, 70.0]",757,0.34478203434610305,0.052840158520475564
age_quartile,"(70.0, 89.0]",651,0.38556067588325654,0.04608294930875576
optype,Biliary/Pancreas,312,0.7564102564102564,0.057692307692307696
optype,Breast,5,0.0,0.0
optype,Colorectal,624,0.10897435897435898,0.03205128205128205
optype,Hepatic,221,0.8823529411764706,0.03167420814479638
optype,Major resection,372,0.1989247311827957,0.03225806451612903
optype,Minor resection,414,0.09178743961352658,0.00966183574879227
optype,Others,394,0.3426395939086294,0.07868020304568528
optype,Stomach,207,0.3140096618357488,0.024154589371980676
optype,Thyroid,7,0.42857142857142855,0.5714285714285714
optype,Transplantation,259,0.8571428571428571,0.21621621621621623
optype,Vascular,75,0.56,0.16
