database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,event_rate,300,0.09847858477072641,0.02194752681382911,0.058974415769593454,0.1407645288482931,0.1419753086419753,-0.043496723871248894,0.048703729573116625
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,oe,300,0.9827201971875457,0.21901490490018133,0.5885071320738852,1.4046926635762025,1.4167750646420612,-0.4340548674545155,0.4860157042395829
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,outcome_observed_fraction,300,0.35716049382716053,0.024277887456113752,0.3117283950617284,0.4012345679012346,,,
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,reconstructed_sensitivity,300,0.3741304347826087,0.060968287586398,0.2608695652173913,0.5,,,
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,ess,300,90.2416610698533,6.673310046085593,77.20691693842923,102.0578709136162,324.0,-233.7583389301467,233.85325664355403
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,event_rate_se,300,0.026621095467799522,0.005041462600745879,0.018625361555592534,0.036824391363617155,0.019390267411834264,0.007230828055965258,0.008810022609456687
VitalDB,0.35,MCAR,strong,AIPW_design_probability,reconstructed,event_rate_interval_coverage,300,0.5966666666666667,,,,,,
VitalDB,0.35,MCAR,strong,Gamma2_prediction_sensitivity_region,full,event_rate,300,0.11057414599130344,0.008115830245338818,0.09526801089753852,0.12624113769503412,0.1419753086419753,-0.03140116265067186,0.03242961857186319
VitalDB,0.35,MCAR,strong,Gamma2_prediction_sensitivity_region,full,outcome_observed_fraction,300,0.35716049382716053,0.024277887456113752,0.3117283950617284,0.4012345679012346,,,
VitalDB,0.35,MCAR,strong,Gamma2_prediction_sensitivity_region,full,reconstructed_sensitivity,300,0.3741304347826087,0.060968287586398,0.2608695652173913,0.5,,,
VitalDB,0.35,MCAR,strong,Gamma2_prediction_sensitivity_region,full,MNAR_event_rate_coverage,300,0.38666666666666666,,,,,,
VitalDB,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,event_rate,300,0.09945741200233783,0.02205962173865624,0.06077087518883789,0.14639493778402032,0.1419753086419753,-0.04251789663963747,0.047882944314310026
VitalDB,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,0.9865142532796801,0.2185502497170706,0.6085085370449483,1.440173919750607,1.4167750646420612,-0.43026081136238103,0.48242031819438375
VitalDB,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,brier,300,0.08058604792347407,0.01799958296343373,0.05236802984287062,0.11716316840034341,0.11053590028892503,-0.02994985236545096,0.03492704816633736
VitalDB,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,auc,300,0.7150193017096339,0.07183818262465488,0.5801184578827263,0.8527148406543954,0.7044103847356897,0.010608916973944171,0.07249876679799869
VitalDB,0.35,MCAR,strong,IPAW_design_probability_truncated99,reconstructed,calibration_intercept,300,-0.6143313349890551,0.37318072647323763,-1.3589174699457491,0.09257035823195084,-0.22511057884817762,-0.3892207561408775,0.5387879348809382
