model,database,retention_target,mechanism,strength,method,evaluation_target,metric,n_replicates,mean,sd,q025,q975,truth,bias,rmse
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,event_rate,300,0.10536161818790128,0.020023137531339014,0.06974741622940041,0.15445896323061964,0.1419753086419753,-0.03661369045407402,0.041715128492474676
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,oe,300,1.0514061553856904,0.19981137735602417,0.6960111661825279,1.5413497579881885,1.4167750646420618,-0.36536890925637144,0.416276283755191
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,ess,300,47.239820830837985,10.2576547465937,25.268306335565242,64.12894842535252,324.0,-276.76017916916203,276.949572166205
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,event_rate_se,300,0.02407161908368523,0.005902845878887219,0.01824214716033832,0.04548904978672576,0.019390267411834264,0.0046813516718509675,0.007526121022625448
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,AIPW_design_probability,reconstructed,event_rate_interval_coverage,300,0.6133333333333333,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,Gamma2_prediction_sensitivity_region,full,event_rate,300,0.12936036715052326,0.009072920252389932,0.1118967898765004,0.14655030900597088,0.1419753086419753,-0.012614941491452036,0.015529978679937011
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,Gamma2_prediction_sensitivity_region,full,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,Gamma2_prediction_sensitivity_region,full,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,Gamma2_prediction_sensitivity_region,full,MNAR_event_rate_coverage,300,0.9433333333333334,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,event_rate,300,0.10842280129733747,0.023863209473619914,0.073072285380926,0.16469419639945676,0.1419753086419753,-0.03355250734463783,0.041150034503094894
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,oe,300,1.0613137154762324,0.2022865351261715,0.7203461678745705,1.5841889823157491,1.4167750646420618,-0.3554613491658294,0.4088229611578003
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,brier,300,0.0848399558465354,0.019888465065180223,0.056272800634025254,0.13324628805842983,0.11053590028892503,-0.025695944442389623,0.03247328286391402
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,auc,300,0.7348935181569055,0.07558411273774161,0.5357132394013352,0.8549224409216951,0.7044103847356897,0.03048313342121578,0.08138265372833513
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,calibration_intercept,300,-0.35794617673142576,0.42553849900751667,-1.7178449319957605,0.28396085330357906,-0.2251105788481786,-0.13283559788324717,0.44511200855003313
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,calibration_slope,300,0.7942648299210183,0.25068893440700724,-0.009900949403613357,1.2093170700727687,0.6581631632744896,0.13610166664652867,0.28488440174680774
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,outcome_observed_fraction,300,0.3175411522633745,0.020174298089363562,0.2777777777777778,0.3549382716049383,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,reconstructed_sensitivity,300,0.5468115942028985,0.06264555623007553,0.43478260869565216,0.6739130434782609,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,ess,300,52.48039396440061,7.501058463770846,38.06076014291781,66.6773910992363,324.0,-271.5196060355994,271.6228539480378
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,event_rate_se,300,0.026063578219894912,0.006140887277081898,0.017934955099327382,0.043484918715550415,0.019390267411834264,0.006673310808060648,0.009061891195310135
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,weight_p99,300,16.139486327532182,4.3596359526622726,9.604958262096092,25.909115783902777,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,weight_max,300,16.38957449150208,4.457900337763646,9.773671153061624,26.160373798124105,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_truncated99,reconstructed,event_rate_interval_coverage,300,0.66,,,,,,
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,event_rate,300,0.10573899786097295,0.023626688589283323,0.07064608799938685,0.16014236615351068,0.1419753086419753,-0.036236310781002354,0.043236904352648105
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,oe,300,1.055798163026483,0.20134144910405813,0.7161105183138416,1.5576418535705776,1.4167750646420618,-0.3609769016155788,0.4131677319163259
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,brier,300,0.08275590109273817,0.01964104834541952,0.05346717173892326,0.12572681649106557,0.11053590028892503,-0.027779999196186858,0.03400313563256913
clinical_table_ridge,VitalDB,0.35,mixed_MNAR,strong,IPAW_design_probability_untruncated,reconstructed,auc,300,0.7410483248697657,0.07590538862741247,0.5387050023917397,0.8585860723403322,0.7044103847356897,0.03663794013407595,0.08417102383364708
